slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
acanthis-cabaret,bird,tree-canopy,tree-flitter,default,small finch flitting through Alnus and Betula canopies,
acanthosoma-haemorrhoidale,insect,tree-canopy,idle-only,override,sit-and-suck shieldbug on hawthorn leaves not a flower visitor,
acari,arachnid,tree-canopy,idle-only,override,microscopic mites grazing sooty mould on tree leaves,
aceria,arachnid,tree-canopy,idle-only,override,eriophyid gall mite sedentary inside Carpinus leaf galls,
aceria-celtis,arachnid,tree-canopy,idle-only,override,eriophyid gall mite sedentary in Celtis leaf galls,
aceria-pseudoplatini,arachnid,tree-canopy,idle-only,override,eriophyid gall mite sedentary in Acer leaf galls,
acronicta-aceris,insect,tree-canopy,idle-only,override,visible stage is foliage-resting caterpillar on Acer,
acronicta-alni,insect,tree-canopy,idle-only,override,visible stage is foliage-feeding caterpillar on Alnus,
aculus-mosoniensis,arachnid,tree-canopy,idle-only,override,eriophyid mite on Ailanthus foliage,
adelges-abietis,insect,tree-canopy,idle-only,override,sap-feeding adelgid in spruce shoot galls,
adelges-laricis,insect,tree-canopy,idle-only,override,sessile woolly adelgid on Larix needles,
agelastica-alni,insect,tree-canopy,idle-only,override,leaf-feeding chrysomelid on Alnus foliage,
agrilus-difficilis,insect,tree-bark,idle-only,override,buprestid borer with bark-resting adults and under-bark larvae on Gleditsia,
aleurocanthus-spiniferus,insect,tree-canopy,idle-only,override,sessile whitefly nymphs and weak-flying adults on Ailanthus,
andrena,insect,flower-visitor,flower-bobber,default,solitary mining bees foraging on spring-flowering trees,
anthonomus-pomorum,insect,tree-canopy,idle-only,override,weevil anchored to apple flower buds rather than nectar visitor,
anthophora,insect,flower-visitor,flower-bobber,default,solitary bees working Laburnum blooms,
apatura-iris,insect,tree-canopy,flower-bobber,override,large butterflies anchored to Salix canopy not nectar plants,
aphidoidea,insect,tree-canopy,idle-only,override,generalist sap-feeders on a wide tree-host range,
aphidoidea-esp-corylobium-avellanae-myzocallis-coryli,insect,tree-canopy,idle-only,override,hazel-feeding aphid colonies,
aphidoidea-esp-dysaphis-crataegi-ovatus-crataegarius,insect,tree-canopy,idle-only,override,hawthorn-feeding aphid colonies,
aphidoidea-generalist-greenfly,insect,tree-canopy,idle-only,override,generalist aphids on Metasequoia shoots,
aphidoidea-incl-anoecia-corni,insect,tree-canopy,idle-only,override,Cornus-feeding aphids,
aphidoidea-including-aphis-gossypii,insect,tree-canopy,idle-only,override,polyphagous aphids on Morus,
aphidoidea-occasional,insect,tree-canopy,idle-only,override,occasional aphid vagrants on Ginkgo,
aphis,insect,tree-canopy,idle-only,override,generalist Aphis on Paulownia and Styphnolobium foliage,
aphrophora-alni,insect,tree-canopy,idle-only,override,spittlebug nymphs in foam on Alnus shoots,
apidae,insect,flower-visitor,flower-bobber,default,honeybees and bumblebees on Corylus and Morus blooms,
apidae-andrenidae,insect,flower-visitor,flower-bobber,default,pollinator assemblage on Ostrya inflorescences,
