slug,common_name,latin_name,tree_genera,has_photo,tree_count
lepidoptera-incl-trichiura-crataegi-lackey-vapourer-light-emerald,Hawthorn moth caterpillars,"Lepidoptera, incl. Trichiura crataegi, lackey, vapourer, light emerald",Crataegus,true,1
lepidoptera-rare,Loopers / generalist caterpillars,"Lepidoptera, rare",Ginkgo,true,1
lepus,Hares & deer browsing,"Lepus, Capreolus",Laburnum,true,1
lobarion-graphidion-communities,Lichens & bark mosses,"Lobarion, Graphidion communities",Fraxinus,true,1
lochmaea-crataegi,Hawthorn leaf beetle,Lochmaea crataegi,Crataegus,true,1
loxia-curvirostra,Common Crossbill,Loxia curvirostra,Larix;Pinus,true,2
lutra-lutra,Otter & water vole,"Lutra lutra, Arvicola amphibius",Alnus,true,1
lycorma-delicatula,Spotted lanternfly,Lycorma delicatula / Fulgoridae,Ailanthus,true,1
lymantria-dispar,Gypsy moth caterpillars,Lymantria dispar / Erebidae,Ostrya,true,1
macroglossum-stellatarum,Night-flying hawkmoths,"Sphingidae, e.g. Macroglossum stellatarum",Catalpa,true,1
macropsis-fumipennis,Honey locust leafhopper,Macropsis fumipennis,Gleditsia,true,1
malacosoma-disstria,Forest tent caterpillar,"Malacosoma disstria, native range only",Nyssa,true,1
malacosoma-neustria,Lackey moth,Malacosoma neustria,Cornus,true,1
martes-martes,Pine marten,Martes martes,Pinus;Sorbus,true,2
megabruchidius-dorsalis,Asian honey-locust seed beetle,"Megabruchidius dorsalis, Bruchinae",Gleditsia,true,1
megachile,Leafcutter bees,Megachile spp.,Cercis,true,1
megachile-sculpturalis,Asian giant resin bee,Megachile sculpturalis,Styphnolobium,true,1
meles-meles,Badger,Meles meles,Prunus,true,1
mesostigmata,Phoretic mites on Ips typographus,"Mesostigmata, e.g. Trichouropoda, Dendrolaelaps",Picea,true,1
mimas-tiliae,Lime hawk-moth,"Mimas tiliae, Sphingidae",Tilia,true,1
muscardinus-avellanarius,Hazel Dormouse,Muscardinus avellanarius,Corylus;Crataegus;Prunus,true,3
myzocallis-carpini,Hornbeam aphids,Myzocallis carpini / Aphididae,Carpinus,true,1
myzus-cerasi,Aphids,"cherry blackfly, Myzus cerasi",Prunus,true,1
nematinae,Sawflies,Nematinae / Pontania gallers,Salix,true,1
nematus-tibialis,Locust sawfly,Nematus tibialis,Robinia,true,1
neolecanium-cornuparvum,Magnolia scale,Neolecanium cornuparvum / Coccidae,Magnolia,false,1
nyctalus,Roosting bats,"Nyctalus, Myotis spp.",Castanea,true,1
nyctalus-noctula,Noctule Bat,Nyctalus noctula,Betula,true,1
nymphalis-antiopa,Mourning Cloak / Camberwell Beauty,Nymphalis antiopa,Celtis,true,1
