slug,latin_name,common_name,category,family,genus,taxon_group,observations_count
chelostoma-rapunculi,Chelostoma rapunculi,,insect,Megachilidae,Chelostoma,17,12
chorthippus-biguttulus-group,Chorthippus biguttulus-group,Biguttulus-group,insect,Acrididae,Chorthippus,14,12
coreus-marginatus,Coreus marginatus,Dock Bug,insect,Coreidae,Coreus,15,12
cornu-aspersum,Cornu aspersum,Garden Snail,mollusc,Helicidae,Cornu,7,12
crambus-perlella,Crambus perlella,,insect,Crambidae,Crambus,8,12
dipsacus-pilosus,Dipsacus pilosus,Small Teasel,plant,Caprifoliaceae,Dipsacus,10,12
ditula-angustiorana,Ditula angustiorana,Red-barred Tortrix,insect,Tortricidae,Ditula,8,12
epilobium-hirsutum,Epilobium hirsutum,Great Willowherb,plant,Onagraceae,Epilobium,10,12
galium-verum,Galium verum,Lady's Bedstraw,plant,Rubiaceae,Galium,10,12
glechoma-hederacea,Glechoma hederacea,Ground-ivy,plant,Lamiaceae,Glechoma,10,12
hordeum-murinum,Hordeum murinum,Wall Barley,plant,Poaceae,Hordeum,10,12
megachile-willughbiella,Megachile willughbiella,Willughby's Leafcutter Bee,insect,Megachilidae,Megachile,17,12
mormo-maura,Mormo maura,Old Lady,insect,Noctuidae,Mormo,8,12
motacilla-alba,Motacilla alba,White Wagtail,bird,Motacillidae,Motacilla,1,12
plantago-lanceolata,Plantago lanceolata,Ribwort Plantain,plant,Plantaginaceae,Plantago,10,12
sambucus-nigra,Sambucus nigra,Elder,plant,Viburnaceae,Sambucus,10,12
sarcophaga-spec,Sarcophaga spec.,,insect,Sarcophagidae,Sarcophaga,18,12
sonchus-oleraceus,Sonchus oleraceus,Smooth Sow-thistle,plant,Asteraceae,Sonchus,10,12
urtica-dioica,Urtica dioica,Common Nettle,plant,Urticaceae,Urtica,10,12
acentria-ephemerella,Acentria ephemerella,,insect,Crambidae,Acentria,8,11
chloromyia-formosa,Chloromyia formosa,Broad Centurian,insect,Stratiomyidae,Chloromyia,18,11
cirsium-vulgare,Cirsium vulgare,Spear Thistle,plant,Asteraceae,Cirsium,10,11
crocallis-elinguaria,Crocallis elinguaria,Scalloped Oak,insect,Geometridae,Crocallis,8,11
eupatorium-cannabinum,Eupatorium cannabinum,Hemp-agrimony,plant,Asteraceae,Eupatorium,10,11
graphosoma-italicum,Graphosoma italicum,Striped shield bug,insect,Pentatomidae,Graphosoma,15,11
gymnoscelis-rufifasciata,Gymnoscelis rufifasciata,Double-striped Pug,insect,Geometridae,Gymnoscelis,8,11
hirundo-rustica,Hirundo rustica,Barn Swallow,bird,Hirundinidae,Hirundo,1,11
hylaeus-communis,Hylaeus communis,Common Yellow-face Bee,insect,Colletidae,Hylaeus,17,11
leucanthemum-vulgare,Leucanthemum vulgare,Oxeye Daisy,plant,Asteraceae,Leucanthemum,10,11
lotus-pedunculatus,Lotus pedunculatus,Greater Bird's-foot-trefoil,plant,Fabaceae,Lotus,10,11
