slug,latin_name,common_name,category,family,genus,taxon_group,observations_count
noctua-pronuba,Noctua pronuba,Large Yellow Underwing,insect,Noctuidae,Noctua,Moths,148
fulica-atra,Fulica atra,Eurasian Coot,bird,Rallidae,Fulica,Birds,104
ardea-cinerea,Ardea cinerea,Grey Heron,bird,Ardeidae,Ardea,Birds,93
vanessa-atalanta,Vanessa atalanta,Red Admiral,insect,Nymphalidae,Vanessa,Butterflies,90
larus-fuscus,Larus fuscus,Lesser Black-backed Gull,bird,Laridae,Larus,Birds,86
chrysoteuchia-culmella,Chrysoteuchia culmella,Garden Grass-Veneer,insect,Crambidae,Chrysoteuchia,Moths,78
idaea-aversata,Idaea aversata,Riband Wave,insect,Geometridae,Idaea,Moths,72
phylloscopus-collybita,Phylloscopus collybita,Common Chiffchaff,bird,Phylloscopidae,Phylloscopus,Birds,71
alopochen-aegyptiaca,Alopochen aegyptiaca,Egyptian Goose,bird,Anatidae,Alopochen,Birds,70
vanessa-cardui,Vanessa cardui,Painted Lady,insect,Nymphalidae,Vanessa,Butterflies,63
harmonia-axyridis,Harmonia axyridis,Harlequin ladybird,insect,Coccinellidae,Harmonia,Beetles,62
coloeus-monedula,Coloeus monedula,Western Jackdaw,bird,Corvidae,Coloeus,Birds,61
apus-apus,Apus apus,Common Swift,bird,Apodidae,Apus,Birds,59
pieris-brassicae,Pieris brassicae,Large White,insect,Pieridae,Pieris,Butterflies,52
podiceps-cristatus,Podiceps cristatus,Great Crested Grebe,bird,Podicipedidae,Podiceps,Birds,51
episyrphus-balteatus,Episyrphus balteatus,Marmalade Hoverfly,insect,Syrphidae,Episyrphus,Flies,50
clepsis-consimilana,Clepsis consimilana,Clepsis consimilana,insect,Tortricidae,Clepsis,Moths,49
echium-vulgare,Echium vulgare,Viper's-bugloss,plant,Boraginaceae,Echium,10,48
eristalis-tenax,Eristalis tenax,Common Drone Fly,insect,Syrphidae,Eristalis,Flies,46
gallinula-chloropus,Gallinula chloropus,Common Moorhen,bird,Rallidae,Gallinula,Birds,44
haematopus-ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,bird,Haematopodidae,Haematopus,Birds,43
mimela-junii,Mimela junii,Mimela junii,insect,Scarabaeidae,Mimela,Beetles,42
heriades-truncorum,Heriades truncorum,Large-headed Resin Bee,insect,Megachilidae,Heriades,"Bees, Wasps & Ants",40
pieris-rapae,Pieris rapae,Small White,insect,Pieridae,Pieris,Butterflies,40
anas-platyrhynchos,Anas platyrhynchos,Mallard,bird,Anatidae,Anas,Birds,39
serica-brunna,Serica brunna,Brown Chafer,insect,Scarabaeidae,Serica,Beetles,39
agrotis-exclamationis,Agrotis exclamationis,Heart and Dart,insect,Noctuidae,Agrotis,Moths,37
autographa-gamma,Autographa gamma,Silver Y,insect,Noctuidae,Autographa,Moths,37
chroicocephalus-ridibundus,Chroicocephalus ridibundus,Black-headed Gull,bird,Laridae,Chroicocephalus,Birds,36
harmonia-axyridis-f-succinea,Harmonia axyridis f. succinea,Harlequin Ladybird f. succinea,insect,Coccinellidae,Harmonia,16,36
hoplodrina-octogenaria,Hoplodrina octogenaria,The Uncertain,insect,Noctuidae,Hoplodrina,Moths,36
sterna-hirundo,Sterna hirundo,Common Tern,bird,Laridae,Sterna,Birds,36
tyria-jacobaeae,Tyria jacobaeae,Cinnabar,insect,Erebidae,Tyria,Moths,36
acrocephalus-scirpaceus,Acrocephalus scirpaceus,Common Reed Warbler,bird,Acrocephalidae,Acrocephalus,Birds,35
caradrina-morpheus,Caradrina morpheus,Mottled Rustic,insect,Noctuidae,Caradrina,Moths,35
larus-argentatus,Larus argentatus,European Herring Gull,bird,Laridae,Larus,Birds,34
ciconia-ciconia,Ciconia ciconia,White Stork,bird,Ciconiidae,Ciconia,Birds,33
polygonia-c-album,Polygonia c-album,Comma,insect,Nymphalidae,Polygonia,Butterflies,33
cichorium-intybus,Cichorium intybus,Chicory,plant,Asteraceae,Cichorium,10,32
achillea-millefolium,Achillea millefolium,Yarrow,plant,Asteraceae,Achillea,10,30
issus-coleoptratus,Issus coleoptratus,Issus coleoptratus,insect,Issidae,Issus,Bugs & Cicadas,30
orthetrum-cancellatum,Orthetrum cancellatum,Black-tailed Skimmer,insect,Libellulidae,Orthetrum,Dragonflies,30
adalia-bipunctata,Adalia bipunctata,2-spot Ladybird,insect,Coccinellidae,Adalia,Beetles,29
dactylorhiza-praetermissa,Dactylorhiza praetermissa,Southern Marsh-orchid,plant,Orchidaceae,Dactylorhiza,Plantae,29
securigera-varia,Securigera varia,Crown Vetch,plant,Fabaceae,Coronilla,10,29
senecio-inaequidens,Senecio inaequidens,Narrow-leaved Ragwort,plant,Asteraceae,Senecio,10,29
malva-sylvestris,Malva sylvestris,Common Mallow,plant,Malvaceae,Malva,10,28
plutella-xylostella,Plutella xylostella,Diamond-back Moth,insect,Plutellidae,Plutella,8,28
silene-dioica,Silene dioica,Red Campion,plant,Caryophyllaceae,Silene,10,28
agrotis-clavis,Agrotis clavis,Heart and Club,insect,Noctuidae,Agrotis,8,27
ischnura-elegans,Ischnura elegans,Common Bluetail,insect,Coenagrionidae,Ischnura,5,27
pasiphila-rectangulata,Pasiphila rectangulata,Green Pug,insect,Geometridae,Pasiphila,8,27
pieris-napi,Pieris napi,Green-veined White,insect,Pieridae,Pieris,4,27
carduus-crispus,Carduus crispus,Welted Thistle,plant,Asteraceae,Carduus,10,26
geranium-pratense,Geranium pratense,Meadow Crane's-bill,plant,Geraniaceae,Geranium,10,26
aphomia-sociella,Aphomia sociella,Bee Moth,insect,Pyralidae,Aphomia,8,25
cirsium-arvense,Cirsium arvense,Creeping Thistle,plant,Asteraceae,Cirsium,10,25
daucus-carota,Daucus carota,Common Carrot,plant,Apiaceae,Daucus,10,25
hedya-nubiferana,Hedya nubiferana,Marbled Orchard Tortrix,insect,Tortricidae,Hedya,8,25
volucella-zonaria,Volucella zonaria,Hornet Plumehorn,insect,Syrphidae,Volucella,18,25
hofmannophila-pseudospretella,Hofmannophila pseudospretella,Brown House Moth,insect,Oecophoridae,Hofmannophila,8,24
alcedo-atthis,Alcedo atthis,Common Kingfisher,bird,Alcedinidae,Alcedo,1,23
celypha-lacunana,Celypha lacunana,"",insect,Tortricidae,Syricoris,8,23
certhia-brachydactyla,Certhia brachydactyla,Short-toed Treecreeper,bird,Certhiidae,Certhia,1,23
circaea-lutetiana,Circaea lutetiana,Enchanter's-nightshade,plant,Onagraceae,Circaea,10,23
crassa-unitella,Crassa unitella,"",insect,Oecophoridae,Borkhausenia,8,23
palomena-prasina,Palomena prasina,Green Shieldbug,insect,Pentatomidae,Palomena,15,23
papaver-rhoeas,Papaver rhoeas,Corn Poppy,plant,Papaveraceae,Papaver,10,23
verbascum-phlomoides,Verbascum phlomoides,Orange mullein,plant,Scrophulariaceae,Verbascum,10,23
anania-hortulata,Anania hortulata,Small Magpie,insect,Crambidae,Anania,8,22
anser-anser,Anser anser,Greylag Goose,bird,Anatidae,Anser,1,22
cantharis-livida,Cantharis livida,"",insect,Cantharidae,Cantharis,16,22
eudonia-delunella,Eudonia delunella,"",insect,Crambidae,Eudonia,8,22
megachile-spec,Megachile spec.,"",insect,Megachilidae,Megachile,17,22
tettigonia-viridissima,Tettigonia viridissima,Great Green Bush-cricket,insect,Tettigoniidae,Tettigonia,14,22
anomala-dubia,Anomala dubia,Dune chafer,insect,Scarabaeidae,Anomala,16,21
aythya-fuligula,Aythya fuligula,Tufted Duck,bird,Anatidae,Aythya,1,21
brassica-nigra,Brassica nigra,Black Mustard,plant,Brassicaceae,Brassica,10,21
chrysopilus-asiliformis,Chrysopilus asiliformis,Little Snipefly,insect,Rhagionidae,Chrysopilus,18,21
crepis-capillaris,Crepis capillaris,Smooth Hawk's-beard,plant,Asteraceae,Crepis,10,21
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,"",plant,Asteraceae,Jacobaea,10,21
medicago-sativa,Medicago sativa,Alfalfa,plant,Fabaceae,Medicago,10,21
psittacula-eupatria,Psittacula eupatria,Alexandrine Parakeet,bird,Psittacidae,Psittacula,1,21
celypha-striana,Celypha striana,"",insect,Tortricidae,Celypha,8,20
ichneumon-xanthorius,Ichneumon xanthorius,"",insect,Ichneumonidae,Ichneumon,17,20
maniola-jurtina,Maniola jurtina,Meadow Brown,insect,Nymphalidae,Maniola,4,20
melilotus-albus,Melilotus albus,White Melilot,plant,Fabaceae,Melilotus,10,20
oecetis-ochracea,Oecetis ochracea,"",insect,Leptoceridae,Oecetis,6,20
oedemera-lurida-virescens,Oedemera lurida/virescens,"",insect,Oedemeridae,Oedemera,16,20
opilio-canestrinii,Opilio canestrinii,Canestrini's Harvestman,arachnid,Phalangiidae,Opilio,13,20
phoenicurus-ochruros,Phoenicurus ochruros,Black Redstart,bird,Muscicapidae,Phoenicurus,1,20
pterocarya-fraxinifolia,Pterocarya fraxinifolia,Caucasian Wingnut,plant,Juglandaceae,Pterocarya,10,20
araneus-diadematus,Araneus diadematus,Garden Cross Spider,arachnid,Araneidae,Araneus,13,19
convolvulus-sepium,Convolvulus sepium,Hedge Bindweed,plant,Convolvulaceae,Convolvulus,10,19
cucullia-scrophulariae,Cucullia scrophulariae,Water Betony,insect,Noctuidae,Shargacucullia,8,19
marpissa-muscosa,Marpissa muscosa,Fencepost Jumping Spider,arachnid,Salticidae,Marpissa,13,19
mystacides-longicornis,Mystacides longicornis,Grouse wing,insect,Leptoceridae,Mystacides,6,19
phalacrocorax-carbo,Phalacrocorax carbo,Great Cormorant,bird,Phalacrocoracidae,Phalacrocorax,1,19
philodromus-spec,Philodromus spec.,"",arachnid,Philodromidae,Philodromus,13,19
polycarpon-tetraphyllum,Polycarpon tetraphyllum,Four-leaved Allseed,plant,Caryophyllaceae,Polycarpon,10,19
polydrusus-formosus,Polydrusus formosus,Green Immigrant Leaf Weevil,insect,Curculionidae,Polydrusus,16,19
alcea-rosea,Alcea rosea,Hollyhock,plant,Malvaceae,Alcea,Plantae,18
artemisia-vulgaris,Artemisia vulgaris,Mugwort,plant,Asteraceae,Artemisia,10,18
chenopodium-album,Chenopodium album,Lamb's Quarters,plant,Amaranthaceae,Chenopodium,10,18
hypochaeris-radicata,Hypochaeris radicata,Cat's-ear,plant,Asteraceae,Hypochaeris,10,18
idaea-seriata,Idaea seriata,Small Dusty Wave,insect,Geometridae,Idaea,8,18
lapsana-communis,Lapsana communis,Nipplewort,plant,Asteraceae,Lapsana,10,18
potentilla-indica,Potentilla indica,Yellow-flowered Strawberry,plant,Rosaceae,Potentilla,10,18
salticus-scenicus,Salticus scenicus,Zebra Spider,arachnid,Salticidae,Salticus,13,18
aegithalos-caudatus,Aegithalos caudatus,Long-tailed Tit,bird,Aegithalidae,Aegithalos,1,17
centaurea-jacea,Centaurea jacea,Brown Knapweed,plant,Asteraceae,Centaurea,10,17
idaea-fuscovenosa,Idaea fuscovenosa,Dwarf Cream Wave,insect,Geometridae,Idaea,8,17
jacobaea-vulgaris,Jacobaea vulgaris,Common Ragwort,plant,Asteraceae,Jacobaea,10,17
lythrum-salicaria,Lythrum salicaria,Purple Loosestrife,plant,Lythraceae,Lythrum,10,17
meconema-spec,Meconema spec.,"",insect,Tettigoniidae,Meconema,14,17
axylia-putris,Axylia putris,Flame,insect,Noctuidae,Axylia,8,16
camptogramma-bilineata,Camptogramma bilineata,Yellow Shell,insect,Geometridae,Camptogramma,8,16
crambus-pascuella,Crambus pascuella,"",insect,Crambidae,Crambus,8,16
falco-peregrinus,Falco peregrinus,Peregrine Falcon,bird,Falconidae,Falco,1,16
lotus-corniculatus,Lotus corniculatus,Common Bird's-foot-trefoil,plant,Fabaceae,Lotus,10,16
polistes-dominula,Polistes dominula,European Paper Wasp,insect,Eumenidae,Polistes,17,16
porcellio-scaber,Porcellio scaber,Common Rough Woodlouse,insect,Porcellionidae,Porcellio,13,16
stachys-sylvatica,Stachys sylvatica,Hedge Woundwort,plant,Lamiaceae,Stachys,10,16
vicia-cracca,Vicia cracca,Tufted Vetch,plant,Fabaceae,Vicia,10,16
yponomeuta-spec,Yponomeuta spec.,"",insect,Yponomeutidae,Yponomeuta,8,16
aegopodium-podagraria,Aegopodium podagraria,Ground-elder,plant,Apiaceae,Aegopodium,10,15
chorthippus-brunneus,Chorthippus brunneus,Field Grasshopper,insect,Acrididae,Chorthippus,14,15
clepsis-dumicolana,Clepsis dumicolana,"",insect,Tortricidae,Clepsis,8,15
deraeocoris-ruber,Deraeocoris ruber,Red Bug,insect,Miridae,Deraeocoris,15,15
eupeodes-corollae,Eupeodes corollae,Migrant Aphideater,insect,Syrphidae,Eupeodes,18,15
hemithea-aestivaria,Hemithea aestivaria,Common Emerald,insect,Geometridae,Hemithea,8,15
heracleum-mantegazzianum,Heracleum mantegazzianum,Giant Hogweed,plant,Apiaceae,Heracleum,10,15
mycelis-muralis,Mycelis muralis,Wall Lettuce,plant,Asteraceae,Mycelis,10,15
oligia-spec,Oligia spec.,Minor unknown,insect,Noctuidae,Oligia,8,15
pararge-aegeria,Pararge aegeria,Speckled Wood,insect,Nymphalidae,Pararge,4,15
peribatodes-rhomboidaria,Peribatodes rhomboidaria,Willow Beauty,insect,Geometridae,Peribatodes,8,15
rhagonycha-fulva,Rhagonycha fulva,Common Red Soldier Beetle,insect,Cantharidae,Rhagonycha,16,15
rumex-obtusifolius,Rumex obtusifolius,Broad-leaved Dock,plant,Polygonaceae,Rumex,10,15
verbascum-nigrum,Verbascum nigrum,Dark Mullein,plant,Scrophulariaceae,Verbascum,10,15
aeshna-isoceles,Aeshna isoceles,Green-eyed Hawker,insect,Aeshnidae,Aeshna,5,14
berteroa-incana,Berteroa incana,Hoary Alison,plant,Brassicaceae,Berteroa,10,14
chironomidae-indet,Chironomidae indet.,Unidentified Non-biting Midge,insect,Chironomidae,"",18,14
closterotomus-trivialis,Closterotomus trivialis,trivial plant bug,insect,Miridae,Closterotomus,15,14
geum-urbanum,Geum urbanum,Wood Avens,plant,Rosaceae,Geum,10,14
harmonia-axyridis-f-spectabilis,Harmonia axyridis f. spectabilis,Harlequin Ladybird f. spectabilis,insect,Coccinellidae,Harmonia,16,14
lagria-spec,Lagria spec.,"",insect,Tenebrionidae,Lagria,16,14
mythimna-impura,Mythimna impura,Smoky Wainscot,insect,Noctuidae,Mythimna,8,14
oedemera-nobilis,Oedemera nobilis,Swollen-thighed Beetle,insect,Oedemeridae,Oedemera,16,14
oenothera-spec,Oenothera spec.,Evening primrose unknown,plant,Onagraceae,Oenothera,10,14
otiorhynchus-sulcatus,Otiorhynchus sulcatus,Black Vine Weevil,insect,Curculionidae,Otiorhynchus,16,14
propylea-quatuordecimpunctata,Propylea quatuordecimpunctata,14-spot Ladybird,insect,Coccinellidae,Propylaea,16,14
psyllobora-vigintiduopunctata,Psyllobora vigintiduopunctata,22-spot Ladybird,insect,Coccinellidae,Psyllobora,16,14
riparia-riparia,Riparia riparia,Sand Martin,bird,Hirundinidae,Riparia,1,14
sicus-ferrugineus,Sicus ferrugineus,Ferruginous Bee-grabber,insect,Conopidae,Sicus,18,14
sphaerophoria-spec,Sphaerophoria spec.,"",insect,Syrphidae,Sphaerophoria,18,14
stachys-palustris,Stachys palustris,Marsh Woundwort,plant,Lamiaceae,Stachys,10,14
acer-pseudoplatanus,Acer pseudoplatanus,Sycamore,plant,Sapindaceae,Acer,10,13
altica-spec,Altica spec.,"",insect,Chrysomelidae,Altica,16,13
andrena-bicolor,Andrena bicolor,Gwynne's Mining Bee,insect,Andrenidae,Andrena,17,13
anthrax-anthrax,Anthrax anthrax,Anthracite Bee-fly,insect,Bombyliidae,Anthrax,18,13
coenagrion-puella,Coenagrion puella,Azure Bluet,insect,Coenagrionidae,Coenagrion,5,13
cygnus-olor,Cygnus olor,Mute Swan,bird,Anatidae,Cygnus,1,13
gasteruption-spec,Gasteruption spec.,Carrot Wasp unknown,insect,Gasteruptiidae,Gasteruption,17,13
geranium-robertianum,Geranium robertianum,Herb-Robert,plant,Geraniaceae,Geranium,10,13
hypericum-perforatum,Hypericum perforatum,Perforate St John's-wort,plant,Hypericaceae,Hypericum,10,13
idaea-rusticata,Idaea rusticata,Least Carpet,insect,Geometridae,Idaea,8,13
limnephilus-marmoratus,Limnephilus marmoratus,Cinnamon sedge,insect,Limnephilidae,Limnephilus,6,13
linaria-vulgaris,Linaria vulgaris,Common Toadflax,plant,Plantaginaceae,Linaria,10,13
lomaspilis-marginata,Lomaspilis marginata,Clouded Border,insect,Geometridae,Lomaspilis,8,13
mareca-strepera,Mareca strepera,Gadwall,bird,Anatidae,Mareca,1,13
nephrotoma-quadrifaria,Nephrotoma quadrifaria,four-spotted cranefly,insect,Tipulidae,Nephrotoma,18,13
pentatoma-rufipes,Pentatoma rufipes,Red-legged Shieldbug,insect,Pentatomidae,Pentatoma,15,13
sisymbrium-officinale,Sisymbrium officinale,Hedge Mustard,plant,Brassicaceae,Sisymbrium,10,13
zygaena-filipendulae,Zygaena filipendulae,Six-spot Burnet,insect,Zygaenidae,Zygaena,8,13
acleris-forsskaleana,Acleris forsskaleana,"",insect,Tortricidae,Acleris,8,12
andrena-flavipes,Andrena flavipes,Yellow-legged Mining Bee,insect,Andrenidae,Andrena,17,12
anthomyiidae-indet,Anthomyiidae indet.,"",insect,Anthomyiidae,"",18,12
anthriscus-sylvestris,Anthriscus sylvestris,Cow Parsley,plant,Apiaceae,Anthriscus,10,12
apamea-monoglypha,Apamea monoglypha,Dark Arches,insect,Noctuidae,Apamea,8,12
calamagrostis-epigejos,Calamagrostis epigejos,Wood Small-reed,plant,Poaceae,Calamagrostis,10,12
chelostoma-rapunculi,Chelostoma rapunculi,"",insect,Megachilidae,Chelostoma,17,12
chorthippus-biguttulus-group,Chorthippus biguttulus-group,Biguttulus-group,insect,Acrididae,Chorthippus,14,12
coreus-marginatus,Coreus marginatus,Dock Bug,insect,Coreidae,Coreus,15,12
cornu-aspersum,Cornu aspersum,Garden Snail,mollusc,Helicidae,Cornu,7,12
crambus-perlella,Crambus perlella,"",insect,Crambidae,Crambus,8,12
dipsacus-pilosus,Dipsacus pilosus,Small Teasel,plant,Caprifoliaceae,Dipsacus,10,12
ditula-angustiorana,Ditula angustiorana,Red-barred Tortrix,insect,Tortricidae,Ditula,8,12
epilobium-hirsutum,Epilobium hirsutum,Great Willowherb,plant,Onagraceae,Epilobium,10,12
galium-verum,Galium verum,Lady's Bedstraw,plant,Rubiaceae,Galium,10,12
glechoma-hederacea,Glechoma hederacea,Ground-ivy,plant,Lamiaceae,Glechoma,10,12
hordeum-murinum,Hordeum murinum,Wall Barley,plant,Poaceae,Hordeum,10,12
megachile-willughbiella,Megachile willughbiella,Willughby's Leafcutter Bee,insect,Megachilidae,Megachile,17,12
mormo-maura,Mormo maura,Old Lady,insect,Noctuidae,Mormo,8,12
motacilla-alba,Motacilla alba,White Wagtail,bird,Motacillidae,Motacilla,1,12
plantago-lanceolata,Plantago lanceolata,Ribwort Plantain,plant,Plantaginaceae,Plantago,10,12
sambucus-nigra,Sambucus nigra,Elder,plant,Viburnaceae,Sambucus,10,12
sarcophaga-spec,Sarcophaga spec.,"",insect,Sarcophagidae,Sarcophaga,18,12
sonchus-oleraceus,Sonchus oleraceus,Smooth Sow-thistle,plant,Asteraceae,Sonchus,10,12
urtica-dioica,Urtica dioica,Common Nettle,plant,Urticaceae,Urtica,10,12
acentria-ephemerella,Acentria ephemerella,"",insect,Crambidae,Acentria,8,11
chloromyia-formosa,Chloromyia formosa,Broad Centurian,insect,Stratiomyidae,Chloromyia,18,11
cirsium-vulgare,Cirsium vulgare,Spear Thistle,plant,Asteraceae,Cirsium,10,11
crocallis-elinguaria,Crocallis elinguaria,Scalloped Oak,insect,Geometridae,Crocallis,8,11
