slug,latin_name,taxon_group,common_name,observations_count
noctua-pronuba,Noctua pronuba,Moths,Large Yellow Underwing,148
fulica-atra,Fulica atra,Birds,Eurasian Coot,104
ardea-cinerea,Ardea cinerea,Birds,Grey Heron,93
vanessa-atalanta,Vanessa atalanta,Butterflies,Red Admiral,90
larus-fuscus,Larus fuscus,Birds,Lesser Black-backed Gull,86
chrysoteuchia-culmella,Chrysoteuchia culmella,Moths,Garden Grass-Veneer,78
idaea-aversata,Idaea aversata,Moths,Riband Wave,72
phylloscopus-collybita,Phylloscopus collybita,Birds,Common Chiffchaff,71
alopochen-aegyptiaca,Alopochen aegyptiaca,Birds,Egyptian Goose,70
vanessa-cardui,Vanessa cardui,Butterflies,Painted Lady,63
harmonia-axyridis,Harmonia axyridis,Beetles,Harlequin ladybird,62
coloeus-monedula,Coloeus monedula,Birds,Western Jackdaw,61
apus-apus,Apus apus,Birds,Common Swift,59
pieris-brassicae,Pieris brassicae,Butterflies,Large White,52
podiceps-cristatus,Podiceps cristatus,Birds,Great Crested Grebe,51
episyrphus-balteatus,Episyrphus balteatus,Flies,Marmalade Hoverfly,50
clepsis-consimilana,Clepsis consimilana,Moths,Clepsis consimilana,49
echium-vulgare,Echium vulgare,10,Viper's-bugloss,48
eristalis-tenax,Eristalis tenax,Flies,Common Drone Fly,46
gallinula-chloropus,Gallinula chloropus,Birds,Common Moorhen,44
haematopus-ostralegus,Haematopus ostralegus,Birds,Eurasian Oystercatcher,43
mimela-junii,Mimela junii,Beetles,Mimela junii,42
heriades-truncorum,Heriades truncorum,"Bees, Wasps & Ants",Large-headed Resin Bee,40
pieris-rapae,Pieris rapae,Butterflies,Small White,40
anas-platyrhynchos,Anas platyrhynchos,Birds,Mallard,39
serica-brunna,Serica brunna,Beetles,Brown Chafer,39
agrotis-exclamationis,Agrotis exclamationis,Moths,Heart and Dart,37
autographa-gamma,Autographa gamma,Moths,Silver Y,37
chroicocephalus-ridibundus,Chroicocephalus ridibundus,Birds,Black-headed Gull,36
harmonia-axyridis-f-succinea,Harmonia axyridis f. succinea,16,Harlequin Ladybird f. succinea,36
hoplodrina-octogenaria,Hoplodrina octogenaria,Moths,The Uncertain,36
sterna-hirundo,Sterna hirundo,Birds,Common Tern,36
tyria-jacobaeae,Tyria jacobaeae,Moths,Cinnabar,36
acrocephalus-scirpaceus,Acrocephalus scirpaceus,Birds,Common Reed Warbler,35
caradrina-morpheus,Caradrina morpheus,Moths,Mottled Rustic,35
larus-argentatus,Larus argentatus,Birds,European Herring Gull,34
ciconia-ciconia,Ciconia ciconia,Birds,White Stork,33
polygonia-c-album,Polygonia c-album,Butterflies,Comma,33
cichorium-intybus,Cichorium intybus,10,Chicory,32
achillea-millefolium,Achillea millefolium,10,Yarrow,30
issus-coleoptratus,Issus coleoptratus,Bugs & Cicadas,Issus coleoptratus,30
orthetrum-cancellatum,Orthetrum cancellatum,Dragonflies,Black-tailed Skimmer,30
adalia-bipunctata,Adalia bipunctata,Beetles,2-spot Ladybird,29
dactylorhiza-praetermissa,Dactylorhiza praetermissa,Plantae,Southern Marsh-orchid,29
securigera-varia,Securigera varia,10,Crown Vetch,29
senecio-inaequidens,Senecio inaequidens,10,Narrow-leaved Ragwort,29
malva-sylvestris,Malva sylvestris,10,Common Mallow,28
plutella-xylostella,Plutella xylostella,8,Diamond-back Moth,28
silene-dioica,Silene dioica,10,Red Campion,28
agrotis-clavis,Agrotis clavis,8,Heart and Club,27
ischnura-elegans,Ischnura elegans,5,Common Bluetail,27
pasiphila-rectangulata,Pasiphila rectangulata,8,Green Pug,27
pieris-napi,Pieris napi,4,Green-veined White,27
carduus-crispus,Carduus crispus,10,Welted Thistle,26
geranium-pratense,Geranium pratense,10,Meadow Crane's-bill,26
aphomia-sociella,Aphomia sociella,8,Bee Moth,25
cirsium-arvense,Cirsium arvense,10,Creeping Thistle,25
daucus-carota,Daucus carota,10,Common Carrot,25
hedya-nubiferana,Hedya nubiferana,8,Marbled Orchard Tortrix,25
volucella-zonaria,Volucella zonaria,18,Hornet Plumehorn,25
hofmannophila-pseudospretella,Hofmannophila pseudospretella,8,Brown House Moth,24
alcedo-atthis,Alcedo atthis,1,Common Kingfisher,23
celypha-lacunana,Celypha lacunana,8,"",23
certhia-brachydactyla,Certhia brachydactyla,1,Short-toed Treecreeper,23
circaea-lutetiana,Circaea lutetiana,10,Enchanter's-nightshade,23
crassa-unitella,Crassa unitella,8,"",23
palomena-prasina,Palomena prasina,15,Green Shieldbug,23
papaver-rhoeas,Papaver rhoeas,10,Corn Poppy,23
verbascum-phlomoides,Verbascum phlomoides,10,Orange mullein,23
anania-hortulata,Anania hortulata,8,Small Magpie,22
anser-anser,Anser anser,1,Greylag Goose,22
cantharis-livida,Cantharis livida,16,"",22
eudonia-delunella,Eudonia delunella,8,"",22
megachile-spec,Megachile spec.,17,"",22
tettigonia-viridissima,Tettigonia viridissima,14,Great Green Bush-cricket,22
anomala-dubia,Anomala dubia,16,Dune chafer,21
aythya-fuligula,Aythya fuligula,1,Tufted Duck,21
brassica-nigra,Brassica nigra,10,Black Mustard,21
chrysopilus-asiliformis,Chrysopilus asiliformis,18,Little Snipefly,21
crepis-capillaris,Crepis capillaris,10,Smooth Hawk's-beard,21
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,10,"",21
medicago-sativa,Medicago sativa,10,Alfalfa,21
psittacula-eupatria,Psittacula eupatria,1,Alexandrine Parakeet,21
celypha-striana,Celypha striana,8,"",20
ichneumon-xanthorius,Ichneumon xanthorius,17,"",20
maniola-jurtina,Maniola jurtina,4,Meadow Brown,20
melilotus-albus,Melilotus albus,10,White Melilot,20
oecetis-ochracea,Oecetis ochracea,6,"",20
oedemera-lurida-virescens,Oedemera lurida/virescens,16,"",20
opilio-canestrinii,Opilio canestrinii,13,Canestrini's Harvestman,20
phoenicurus-ochruros,Phoenicurus ochruros,1,Black Redstart,20
pterocarya-fraxinifolia,Pterocarya fraxinifolia,10,Caucasian Wingnut,20
araneus-diadematus,Araneus diadematus,13,Garden Cross Spider,19
convolvulus-sepium,Convolvulus sepium,10,Hedge Bindweed,19
cucullia-scrophulariae,Cucullia scrophulariae,8,Water Betony,19
marpissa-muscosa,Marpissa muscosa,13,Fencepost Jumping Spider,19
mystacides-longicornis,Mystacides longicornis,6,Grouse wing,19
phalacrocorax-carbo,Phalacrocorax carbo,1,Great Cormorant,19
philodromus-spec,Philodromus spec.,13,"",19
polycarpon-tetraphyllum,Polycarpon tetraphyllum,10,Four-leaved Allseed,19
polydrusus-formosus,Polydrusus formosus,16,Green Immigrant Leaf Weevil,19
alcea-rosea,Alcea rosea,Plantae,Hollyhock,18
artemisia-vulgaris,Artemisia vulgaris,10,Mugwort,18
chenopodium-album,Chenopodium album,10,Lamb's Quarters,18
hypochaeris-radicata,Hypochaeris radicata,10,Cat's-ear,18
idaea-seriata,Idaea seriata,8,Small Dusty Wave,18
lapsana-communis,Lapsana communis,10,Nipplewort,18
potentilla-indica,Potentilla indica,10,Yellow-flowered Strawberry,18
salticus-scenicus,Salticus scenicus,13,Zebra Spider,18
aegithalos-caudatus,Aegithalos caudatus,1,Long-tailed Tit,17
centaurea-jacea,Centaurea jacea,10,Brown Knapweed,17
idaea-fuscovenosa,Idaea fuscovenosa,8,Dwarf Cream Wave,17
jacobaea-vulgaris,Jacobaea vulgaris,10,Common Ragwort,17
lythrum-salicaria,Lythrum salicaria,10,Purple Loosestrife,17
meconema-spec,Meconema spec.,14,"",17
axylia-putris,Axylia putris,8,Flame,16
camptogramma-bilineata,Camptogramma bilineata,8,Yellow Shell,16
crambus-pascuella,Crambus pascuella,8,"",16
falco-peregrinus,Falco peregrinus,1,Peregrine Falcon,16
lotus-corniculatus,Lotus corniculatus,10,Common Bird's-foot-trefoil,16
lucilia-spec,Lucilia spec.,18,"",16
polistes-dominula,Polistes dominula,17,European Paper Wasp,16
porcellio-scaber,Porcellio scaber,13,Common Rough Woodlouse,16
stachys-sylvatica,Stachys sylvatica,10,Hedge Woundwort,16
vicia-cracca,Vicia cracca,10,Tufted Vetch,16
yponomeuta-spec,Yponomeuta spec.,8,"",16
aegopodium-podagraria,Aegopodium podagraria,10,Ground-elder,15
