slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
noctua-pronuba,Noctua pronuba,Noctua pronuba,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,pronuba,"Noctua pronuba Linnaeus, 1758",EXACT,97
fulica-atra,Fulica atra,Fulica atra,species,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,atra,"Fulica atra Linnaeus, 1758",EXACT,99
ardea-cinerea,Ardea cinerea,Ardea cinerea,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,"Ardea cinerea Linnaeus, 1758",EXACT,99
vanessa-atalanta,Vanessa atalanta,Vanessa atalanta,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,atalanta,"Vanessa atalanta (Linnaeus, 1758)",EXACT,97
larus-fuscus,Larus fuscus,Larus fuscus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,fuscus,"Larus fuscus Linnaeus, 1758",EXACT,99
chrysoteuchia-culmella,Chrysoteuchia culmella,Chrysoteuchia culmella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,culmella,"Chrysoteuchia culmella Linnaeus, 1758",EXACT,99
idaea-aversata,Idaea aversata,Idaea aversata,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,aversata,"Idaea aversata (Linnaeus, 1758)",EXACT,99
phylloscopus-collybita,Phylloscopus collybita,Phylloscopus collybita,species,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,"Phylloscopus collybita (Vieillot, 1817)",EXACT,99
alopochen-aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,"Alopochen aegyptiaca (Linnaeus, 1766)",EXACT,99
vanessa-cardui,Vanessa cardui,Vanessa cardui,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,cardui,"Vanessa cardui (Linnaeus, 1758)",EXACT,99
harmonia-axyridis,Harmonia axyridis,Harmonia axyridis,species,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,axyridis,"Harmonia axyridis (Pallas, 1773)",EXACT,99
coloeus-monedula,Coloeus monedula,Coloeus monedula,species,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,monedula,"Coloeus monedula (Linnaeus, 1758)",EXACT,99
apus-apus,Apus apus,Apus apus,species,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,"Apus apus (Linnaeus, 1758)",EXACT,99
pieris-brassicae,Pieris brassicae,Pieris brassicae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,brassicae,"Pieris brassicae (Linnaeus, 1758)",EXACT,99
podiceps-cristatus,Podiceps cristatus,Podiceps cristatus,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,"Podiceps cristatus (Linnaeus, 1758)",EXACT,99
episyrphus-balteatus,Episyrphus balteatus,Episyrphus balteatus,species,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,balteatus,"Episyrphus balteatus (De Geer, 1776)",EXACT,99
clepsis-consimilana,Clepsis consimilana,Clepsis consimilana,species,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,consimilana,"Clepsis consimilana (Hübner, 1814-1817)",EXACT,99
echium-vulgare,Echium vulgare,Echium vulgare,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,vulgare,Echium vulgare L.,EXACT,97
eristalis-tenax,Eristalis tenax,Eristalis tenax,species,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,tenax,"Eristalis tenax (Linnaeus, 1758)",EXACT,99
gallinula-chloropus,Gallinula chloropus,Gallinula chloropus,species,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,chloropus,"Gallinula chloropus (Linnaeus, 1758)",EXACT,99
haematopus-ostralegus,Haematopus ostralegus,Haematopus ostralegus,species,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,"Haematopus ostralegus Linnaeus, 1758",EXACT,99
mimela-junii,Mimela junii,Mimela junii,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Mimela,junii,"Mimela junii (Duftschmid, 1805)",EXACT,99
heriades-truncorum,Heriades truncorum,Heriades truncorum,species,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Heriades,truncorum,"Heriades truncorum (Linnaeus, 1758)",EXACT,99
pieris-rapae,Pieris rapae,Pieris rapae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,rapae,"Pieris rapae (Linnaeus, 1758)",EXACT,99
anas-platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,"Anas platyrhynchos Linnaeus, 1758",EXACT,99
serica-brunna,Serica brunna,Serica brunna,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Serica,brunna,"Serica brunna (Linnaeus, 1758)",EXACT,99
agrotis-exclamationis,Agrotis exclamationis,Agrotis exclamationis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,exclamationis,"Agrotis exclamationis (Linnaeus, 1758)",EXACT,99
autographa-gamma,Autographa gamma,Autographa gamma,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,gamma,"Autographa gamma (Linnaeus, 1758)",EXACT,97
chroicocephalus-ridibundus,Chroicocephalus ridibundus,Chroicocephalus ridibundus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,"Chroicocephalus ridibundus (Linnaeus, 1766)",EXACT,99
harmonia-axyridis-f-succinea,Harmonia axyridis f. succinea,Harmonia axyridis f. succinea,form,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,axyridis,Harmonia axyridis f. succinea,EXACT,99
hoplodrina-octogenaria,Hoplodrina octogenaria,Hoplodrina octogenaria,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hoplodrina,octogenaria,"Hoplodrina octogenaria (Goeze, 1781)",EXACT,99
sterna-hirundo,Sterna hirundo,Sterna hirundo,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,"Sterna hirundo Linnaeus, 1758",EXACT,99
tyria-jacobaeae,Tyria jacobaeae,Tyria jacobaeae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,jacobaeae,"Tyria jacobaeae Linnaeus, 1758",EXACT,99
acrocephalus-scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,species,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,scirpaceus,"Acrocephalus scirpaceus (Hermann, 1804)",EXACT,99
caradrina-morpheus,Caradrina morpheus,Caradrina morpheus,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,morpheus,"Caradrina morpheus (Hufnagel, 1766)",EXACT,99
larus-argentatus,Larus argentatus,Larus argentatus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,"Larus argentatus Pontoppidan, 1763",EXACT,99
