slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
acanthus-spec,Acanthus spec.,,unmatched,,,,,,,,,,
acari,Acari,,unmatched,,,,,,,,,,
acrocephalus,Acrocephalus,Acrocephalus,genus,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,,"Acrocephalus J.A.Naumann & J.F.Naumann, 1811",EXACT,98
actinopterygii,Actinopterygii,,unmatched,,,,,,,,,,
agrilus,Agrilus,Agrilus,genus,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,,"Agrilus Curtis, 1825",HIGHERRANK,97
agrilus-spec,Agrilus spec.,,unmatched,,,,,,,,,,
amara-spec,Amara spec.,,unmatched,,,,,,,,,,
angiospermae,Angiospermae,Angiospermae,kingdom,Plantae,,,,,,,Plantae,HIGHERRANK,99
anodontini,Anodontini,Anodontini,phylum,Animalia,Mollusca,,,,,,Mollusca,HIGHERRANK,100
anomaloninae-indet,Anomaloninae indet.,,unmatched,,,,,,,,,,
anthemideae,Anthemideae,Anthemideae,kingdom,Plantae,,,,,,,Plantae,HIGHERRANK,99
aphidiinae,Aphidiinae,Aphidiinae,family,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,,,Aphidiidae,FUZZY,90
aphidinae,Aphidinae,Aphidinae,family,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,Aphididae,FUZZY,88
aphidoidea-generalist-greenfly,"Aphidoidea, generalist greenfly",,unmatched,,,,,,,,,,
aphidoidea-including-aphis-gossypii,"Aphidoidea, including Aphis gossypii",,unmatched,,,,,,,,,,
aphidoidea-occasional,"Aphidoidea, occasional",,unmatched,,,,,,,,,,
aplocera-spec,Aplocera spec.,,unmatched,,,,,,,,,,
apocrita,Apocrita,Apocrita,class,Animalia,Arthropoda,Insecta,,,,,Insecta,HIGHERRANK,100
apoidea,Apoidea,,unmatched,,,,,,,,,,
aquarius,Aquarius,Aquarius,genus,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,,"Aquarius Schellenberg, 1800",EXACT,98
araneoidea,Araneoidea,Araneoidea,class,Animalia,Arthropoda,Arachnida,,,,,Arachnida,HIGHERRANK,100
araneomorphae,Araneomorphae,Araneomorphae,class,Animalia,Arthropoda,Arachnida,,,,,Arachnida,HIGHERRANK,100
arum-spec,Arum spec.,,unmatched,,,,,,,,,,
