slug,latin_name,taxon_group
acanthus-spec,Acanthus spec.,10
acari,Acari,""
acrocephalus,Acrocephalus,Aves
actinopterygii,Actinopterygii,Actinopterygii
agrilus,Agrilus,Insecta
agrilus-spec,Agrilus spec.,16
amara-spec,Amara spec.,16
angiospermae,Angiospermae,Plantae
anodontini,Anodontini,Mollusca
anomaloninae-indet,Anomaloninae indet.,17
anthemideae,Anthemideae,Plantae
aphidiinae,Aphidiinae,Insecta
aphidinae,Aphidinae,Insecta
aphidoidea-generalist-greenfly,"Aphidoidea, generalist greenfly",""
aphidoidea-including-aphis-gossypii,"Aphidoidea, including Aphis gossypii",""
aphidoidea-occasional,"Aphidoidea, occasional",""
aplocera-spec,Aplocera spec.,8
apocrita,Apocrita,Insecta
apoidea,Apoidea,""
aquarius,Aquarius,Insecta
araneoidea,Araneoidea,Arachnida
araneomorphae,Araneomorphae,Arachnida
arum-spec,Arum spec.,10
auchenorrhyncha-indet,Auchenorrhyncha indet.,15
bibionomorpha,Bibionomorpha,Insecta
bombycilla-garrulus,"cedar waxwing equiv. — in Europe Bohemian Waxwing Bombycilla garrulus, Blackbird Turdus merula, Mistle Thrush",""
brachycera,Brachycera,Insecta
brachycera-indet,Brachycera indet.,18
brassiceae,Brassiceae,Plantae
calyptratae,Calyptratae,Insecta
campanula,Campanula,Plantae
carduinae,Carduinae,Plantae
carduoideae,Carduoideae,Plantae
cepaea-spec,Cepaea spec.,7
chrysis-ignita-gr,Chrysis ignita-gr.,17
cichorieae,Cichorieae,Plantae
coccinellini,Coccinellini,Insecta
coleophora-spec,Coleophora spec.,8
conocephalus-spec,Conocephalus spec.,14
crepis,Crepis,Plantae
cryptinae-indet,Cryptinae indet.,17
cryptogams,cryptogams,""
cucujiformia,Cucujiformia,Insecta
deirochelyinae,Deirochelyinae,Reptilia
diplazontinae-indet,Diplazontinae indet.,17
entelegynae,Entelegynae,Arachnida
erica,Erica,Plantae
erigone,Erigone,Arachnida
fuchsia-spec,Fuchsia spec.,10
galeopsis-spec,Galeopsis spec.,10
gomphocerinae-indet,Gomphocerinae indet.,14
harmonia,Harmonia,Insecta
harpalinae,Harpalinae,Insecta
heliconiini,Heliconiini,Insecta
ichneumoninae-indet,Ichneumoninae indet.,17
idiocerini,Idiocerini,Insecta
isoaeschna-isoceles,Isoaeschna isoceles,Insecta
larentiinae,Larentiinae,Insecta
leuciscinae,Leuciscinae,Actinopterygii
linaria,Linaria,Plantae
lotus-spec,Lotus spec.,10
lucilia,Lucilia,Insecta
lucilia-spec,Lucilia spec.,18
macrosiphini,Macrosiphini,Insecta
malachiinae-indet,Malachiinae indet.,16
melaleuca,Melaleuca,Plantae
melanotus-spec,Melanotus spec.,16
micacei,Micacei,Fungi
microgastrinae-indet,Microgastrinae indet.,17
microlepidoptera-indet,Microlepidoptera indet.,8
murinae,Murinae,Mammalia
muscoidea,Muscoidea,Insecta
nematinae,Nematinae / Pontania gallers,""
passer-domesticus,"House Sparrow Passer domesticus, Wood Pigeon Columba palumbus",""
pimplinae-indet,Pimplinae indet.,17
polypodium-spec,Polypodium spec.,10
qualitative,qualitative,""
salix,Salix,Plantae
salix-alba,Salix alba,10
salix-spec,Salix spec.,10
scymninae-indet,Scymninae indet.,16
silene,Silene,Plantae
small-mammals,small mammals,""
sphaeroderma-spec,Sphaeroderma spec.,16
sterninae,Sterninae,Aves
syrphini,Syrphini,Insecta
trifolieae,Trifolieae,Plantae
typhlocybinae-indet,Typhlocybinae indet.,15
ulmus-spec,Ulmus spec.,10
various-mammals,various mammals,""
vespinae-indet,Vespinae indet.,17
