slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
Abelia,Abelia,Abelia,genus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,,Abelia R.Br.,EXACT,96
Abies,Abies,Abies,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,,Abies Mill.,EXACT,95
Acer,Acer,Acer,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,,Acer L.,HIGHERRANK,95
Aesculus,Aesculus,Aesculus,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,,Aesculus L.,HIGHERRANK,95
Ailanthus,Ailanthus,Ailanthus,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,,Ailanthus Desf.,EXACT,96
Albizia,Albizia,Albizia,class,Plantae,Tracheophyta,Magnoliopsida,,,Albizia,,Magnoliopsida,HIGHERRANK,95
Alnus,Alnus,Alnus,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,,Alnus Mill.,EXACT,95
Amelanchier,Amelanchier,Amelanchier,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,,Amelanchier Medik.,EXACT,96
Aralia,Aralia,Aralia,genus,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,,Aralia L.,HIGHERRANK,95
Araucaria,Araucaria,Araucaria,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,,Araucaria Juss.,EXACT,96
Arbutus,Arbutus,Arbutus,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,,Arbutus L.,HIGHERRANK,95
Asimina,Asimina,Asimina,genus,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Asimina,,Asimina Adans.,HIGHERRANK,95
Berberis,Berberis,Berberis,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,,Berberis L.,EXACT,96
Betula,Betula,Betula,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,,Betula L.,HIGHERRANK,95
Broussonetia,Broussonetia,Broussonetia,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Broussonetia,,Broussonetia Vent.,EXACT,95
Buxus,Buxus,Buxus,genus,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,,Buxus L.,EXACT,96
Calocedrus,Calocedrus,Calocedrus,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Calocedrus,,Calocedrus Kurz,EXACT,96
Carpinus,Carpinus,Carpinus,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,,Carpinus L.,EXACT,96
Carya,Carya,Carya,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,,Carya Nutt.,EXACT,96
Castanea,Castanea,Castanea,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanea,,Castanea Mill.,EXACT,96
Catalpa,Catalpa,Catalpa,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Catalpa,,Catalpa Scop.,EXACT,96
Cedrus,Cedrus,Cedrus,phylum,Plantae,Tracheophyta,,,,Cedrus,,Tracheophyta,HIGHERRANK,95
Celtis,Celtis,Celtis,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,,Celtis L.,EXACT,96
Cephalotaxus,Cephalotaxus,Cephalotaxus,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cephalotaxaceae,Cephalotaxus,,Cephalotaxus Siebold & Zucc. ex Endl.,EXACT,95
Cercidiphyllum,Cercidiphyllum,Cercidiphyllum,genus,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Cercidiphyllaceae,Cercidiphyllum,,Cercidiphyllum Siebold & Zucc.,EXACT,96
Cercis,Cercis,Cercis,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cercis,,Cercis L.,EXACT,96
Chaenomeles,Chaenomeles,Chaenomeles,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Chaenomeles,,Chaenomeles Lindl.,EXACT,95
Chamaecyparis,Chamaecyparis,Chamaecyparis,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,,Chamaecyparis Spach,EXACT,96
Chimonanthus,Chimonanthus,Chimonanthus,genus,Plantae,Tracheophyta,Magnoliopsida,Laurales,Calycanthaceae,Chimonanthus,,Chimonanthus Lindl.,EXACT,96
Chionanthus,Chionanthus,Chionanthus,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Chionanthus,,Chionanthus Royen,EXACT,95
Chitalpa,Chitalpa,Chitalpa,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Chitalpa,,× Chitalpa T.S.Elias & Wisura,EXACT,96
Choisya,Choisya,Choisya,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Choisya,,Choisya Kunth,EXACT,96
Cladrastis,Cladrastis,Cladrastis,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cladrastis,,Cladrastis Raf.,EXACT,96
Clerodendrum,Clerodendrum,Clerodendrum,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,,Clerodendrum L.,EXACT,96
Clethra,Clethra,Clethra,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,,Clethra L.,EXACT,96
Cornus,Cornus,Cornus,genus,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,,Cornus L.,EXACT,96
Corylopsis,Corylopsis,Corylopsis,genus,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Hamamelidaceae,Corylopsis,,Corylopsis Siebold & Zucc.,EXACT,96
Corylus,Corylus,Corylus,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,,Corylus L.,EXACT,96
Cotinus,Cotinus,Cotinus,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Cotinus,,Cotinus Mill.,EXACT,95
Cotoneaster,Cotoneaster,Cotoneaster,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,,Cotoneaster Medik.,EXACT,95
Crataegus,Crataegus,Crataegus,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,,Crataegus L.,EXACT,96
Crataemespilus,Crataemespilus,Crataemespilus,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataemespilus,,Crataemespilus E.G.Camus,EXACT,96
Cryptomeria,Cryptomeria,Cryptomeria,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cryptomeria,,Cryptomeria D.Don,EXACT,96
Cudrania,Cudrania,Cudrania,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Maclura,,Cudrania Trécul,EXACT,96
