slug,latin_name
Abelia,Abelia
Abies,Abies
Acer,Acer
Aesculus,Aesculus
Ailanthus,Ailanthus
Albizia,Albizia
Alnus,Alnus
Amelanchier,Amelanchier
Aralia,Aralia
Araucaria,Araucaria
Arbutus,Arbutus
Asimina,Asimina
Berberis,Berberis
Betula,Betula
Broussonetia,Broussonetia
Buxus,Buxus
Calocedrus,Calocedrus
Carpinus,Carpinus
Carya,Carya
Castanea,Castanea
Catalpa,Catalpa
Cedrus,Cedrus
Celtis,Celtis
Cephalotaxus,Cephalotaxus
Cercidiphyllum,Cercidiphyllum
Cercis,Cercis
Chaenomeles,Chaenomeles
Chamaecyparis,Chamaecyparis
Chimonanthus,Chimonanthus
Chionanthus,Chionanthus
Chitalpa,Chitalpa
Choisya,Choisya
Cladrastis,Cladrastis
Clerodendrum,Clerodendrum
Clethra,Clethra
Cornus,Cornus
Corylopsis,Corylopsis
Corylus,Corylus
Cotinus,Cotinus
Cotoneaster,Cotoneaster
Crataegus,Crataegus
Crataemespilus,Crataemespilus
Cryptomeria,Cryptomeria
Cudrania,Cudrania
Cunninghamia,Cunninghamia
Cupressocyparis,Cupressocyparis
Cupressus,Cupressus
Cyclocarya,Cyclocarya
Cydonia,Cydonia
Davidia,Davidia
Diospyros,Diospyros
Dipelta,Dipelta
Elaeagnus,Elaeagnus
Emmenopterys,Emmenopterys
Eriobotrya,Eriobotrya
Eucommia,Eucommia
Euonymus,Euonymus
Fagus,Fagus
Ficus,Ficus
Firmiana,Firmiana
Fothergilla,Fothergilla
Frangula,Frangula
Fraxinus,Fraxinus
Ginkgo,Ginkgo
Gleditsia,Gleditsia
Glyptostrobus,Glyptostrobus
Gymnocladus,Gymnocladus
Halesia,Halesia
Hamamelis,Hamamelis
Heptacodium,Heptacodium
Hibiscus,Hibiscus
Hippophae,Hippophae
Hydrangea,Hydrangea
Idesia,Idesia
Ilex,Ilex
Itea,Itea
Juglans,Juglans
Juniperus,Juniperus
Kalopanax,Kalopanax
Koelreuteria,Koelreuteria
Kolkwitzia,Kolkwitzia
Laburnum,Laburnum
Lagerstroemia,Lagerstroemia
Larix,Larix
Leucothoe,Leucothoe
Leycesteria,Leycesteria
Ligustrum,Ligustrum
Liquidambar,Liquidambar
Liriodendron,Liriodendron
Maackia,Maackia
Magnolia,Magnolia
Mahonia,Mahonia
Malus,Malus
Meliosma,Meliosma
Mespilus,Mespilus
Metasequoia,Metasequoia
Morus,Morus
Nandina,Nandina
Nothofagus,Nothofagus
Nyssa,Nyssa
Oemleria,Oemleria
Olea,Olea
Osmanthus,Osmanthus
Ostrya,Ostrya
Parrotia,Parrotia
Parrotiopsis,Parrotiopsis
Paulownia,Paulownia
Phellodendron,Phellodendron
Photinia,Photinia
Physocarpus,Physocarpus
Picea,Picea
Picrasma,Picrasma
Pinus,Pinus
Planera,Planera
Platanus,Platanus
Platycladus,Platycladus
Podocarpus,Podocarpus
Poncirus,Poncirus
Populus,Populus
Prunus,Prunus
Pseudolarix,Pseudolarix
Pseudopanax,Pseudopanax
Pseudotsuga,Pseudotsuga
Ptelea,Ptelea
Pterocarya,Pterocarya
Pterostyrax,Pterostyrax
Pyrus,Pyrus
Quercus,Quercus
Rhamnus,Rhamnus
Rhododendron,Rhododendron
Rhus,Rhus
Robinia,Robinia
Rosa,Rosa
Salix,Salix
Sambucus,Sambucus
Sarcococca,Sarcococca
Sassafras,Sassafras
Sciadopitys,Sciadopitys
Sequoia,Sequoia
Sequoiadendron,Sequoiadendron
Skimmia,Skimmia
Sorbus,Sorbus
Staphylea,Staphylea
Stewartia,Stewartia
Styphnolobium,Styphnolobium
Styrax,Styrax
Sycoparrotia,Sycoparrotia
Symplocos,Symplocos
Syringa,Syringa
Tamarix,Tamarix
Taxodium,Taxodium
Taxus,Taxus
Tetracentron,Tetracentron
Tetradium,Tetradium
Thuja,Thuja
Thujopsis,Thujopsis
Tilia,Tilia
Toona,Toona
Torreya,Torreya
Trachycarpus,Trachycarpus
Tsuga,Tsuga
Ulmus,Ulmus
Viburnum,Viburnum
Weigela,Weigela
Zanthoxylum,Zanthoxylum
Zelkova,Zelkova
Ziziphus,Ziziphus
