slug,latin_name,taxon_group,family,genus,observations_count
achillea-millefolium-cultivar,Achillea millefolium (cultivar),10,Asteraceae,Achillea,1
adalia,Adalia,Insecta,Coccinellidae,Adalia,1
aegopodium,Aegopodium,Plantae,Apiaceae,Aegopodium,1
agelastica,Agelastica,Insecta,Chrysomelidae,Agelastica,1
agrilus,Agrilus,Insecta,Buprestidae,Agrilus,1
agrilus-spec,Agrilus spec.,16,,,1
agromyza-flaviceps,Agromyza flaviceps,18,Agromyzidae,Agromyza,1
agyneta,Agyneta,Arachnida,Linyphiidae,Agyneta,1
ancylis-unguicella,Ancylis unguicella,8,Tortricidae,Ancylis,1
anodontini,Anodontini,Mollusca,,,1
anoecia,Anoecia,Insecta,Aphididae,Anoecia,1
anthocomus-fasciatus,Anthocomus fasciatus,16,Melyridae,Anthocomus,1
anthrenus-pimpinellae,Anthrenus pimpinellae,16,Dermestidae,Anthrenus,1
aphrodes-spec,Aphrodes spec.,15,Cicadellidae,Aphrodes,1
aplocera-spec,Aplocera spec.,8,,,1
apolygus-lucorum,Apolygus lucorum,15,Miridae,Apolygus,1
aquarius,Aquarius,Insecta,Gerridae,Aquarius,1
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),10,Ranunculaceae,Aquilegia,1
aradus-brenskei,Aradus brenskei,15,Aradidae,Aradus,1
arge-cyanocrocea,Arge cyanocrocea,17,Argidae,Arge,1
arge-pagana,Arge pagana,17,Argidae,Arge,1
atractotomus-mali,Atractotomus mali,15,Miridae,Atractotomus,1
aulagromyza-hendeliana,Aulagromyza hendeliana,18,Agromyzidae,Aulagromyza,1
austrolimnophila-ochracea,Austrolimnophila ochracea,Insecta,Limoniidae,Austrolimnophila,1
bledius-spec,Bledius spec.,16,Staphylinidae,Bledius,1
brassiceae,Brassiceae,Plantae,,,1
byturus-spec,Byturus spec.,16,Byturidae,Byturus,1
caloptilia-spec,Caloptilia spec.,8,Gracillariidae,Caloptilia,1
cantharis,Cantharis,Insecta,,,1
cantharis-flavilabris,Cantharis flavilabris,Insecta,Cantharidae,Cantharis,1
