slug,latin_name,common_name,source
Leycesteria,Leycesteria,Himalayan honeysuckle,known
Meliosma,Meliosma,meliosma,derived
Nandina,Nandina,heavenly bamboo,known
Oemleria,Oemleria,osoberry,known
Parrotia,Parrotia,Persian ironwood,known
Parrotiopsis,Parrotiopsis,parrotiopsis,derived
Picrasma,Picrasma,picrasma,derived
Platycladus,Platycladus,oriental arborvitae,known
Pterostyrax,Pterostyrax,epaulette tree,known
Skimmia,Skimmia,skimmia,known
Styphnolobium,Styphnolobium,Japanese pagoda tree,known
Sycoparrotia,Sycoparrotia,sycoparrotia,derived
Tetradium,Tetradium,bee-bee tree,known
Thujopsis,Thujopsis,hiba arborvitae,known
Toona,Toona,toon tree,known
Trachycarpus,Trachycarpus,windmill palm,known
