slug,latin_name,common_name,source,inat_taxon_id
celypha-lacunana,Celypha lacunana,Common Marble,inat,205971
crassa-unitella,Crassa unitella,Golden-brown Tubic,inat,481943
cantharis-livida,Cantharis livida,,unresolved,
eudonia-delunella,Eudonia delunella,Pied Grey,inat,470894
megachile-spec,Megachile spec.,"Leafcutter, Mortar, and Resin Bees",inat,52784
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,,unresolved,
celypha-striana,Celypha striana,Barred Marble,inat,321943
ichneumon-xanthorius,Ichneumon xanthorius,,unresolved,
oecetis-ochracea,Oecetis ochracea,,unresolved,
oedemera-lurida-virescens,Oedemera lurida/virescens,Greenish Oedemera,inat,451389
philodromus-spec,Philodromus spec.,Running Crab Spiders,inat,56611
meconema-spec,Meconema spec.,Quiet-calling Katydids,inat,523036
crambus-pascuella,Crambus pascuella,Inlaid Grass-veneer,inat,333907
lucilia-spec,Lucilia spec.,Greenbottle Flies,inat,61858
yponomeuta-spec,Yponomeuta spec.,Small Ermine Moths,inat,56198
clepsis-dumicolana,Clepsis dumicolana,,unresolved,
lagria-spec,Lagria spec.,,unresolved,
sphaerophoria-spec,Sphaerophoria spec.,Globetails,inat,52965
altica-spec,Altica spec.,Metallic Flea Beetles,inat,173228
coleophora-spec,Coleophora spec.,Casebearers,inat,87566
acleris-forsskaleana,Acleris forsskaleana,Maple Leaftier Moth,inat,342688
anthomyiidae-indet,Anthomyiidae indet.,Root-maggot Flies,inat,49996
chelostoma-rapunculi,Chelostoma rapunculi,Rampion Scissor Bee,inat,357471
crambus-perlella,Crambus perlella,Yellow Satin Veneer,inat,323781
sarcophaga-spec,Sarcophaga spec.,Common Flesh Flies,inat,120489
acentria-ephemerella,Acentria ephemerella,Water Veneer,inat,417098
cepaea-spec,Cepaea spec.,,unresolved,
rhinophora-lepida,Rhinophora lepida,Pouting Woodlouse-fly,inat,625003
scymninae-indet,Scymninae indet.,,unresolved,
thereva-nobilitata,Thereva nobilitata,Common Stiletto,inat,362410
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,Candy-striped Spider complex,inat,1255692
malva-alcea-malva-moschata,Malva alcea + Malva moschata,,unresolved,
platyedra-subcinerea,Platyedra subcinerea,Cotton stem moth,inat,466728
schoenobius-gigantella,Schoenobius gigantella,Giant Grass-veneer,inat,325433
ancylis-achatana,Ancylis achatana,Triangle-marked Roller,inat,359096
anthomyia-procellaris,Anthomyia procellaris,,unresolved,
hedya-salicella,Hedya salicella,White-backed Marble,inat,470719
malva-sylvestris-cultivar,Malva sylvestris (cultivar),,unresolved,
