slug,latin_name,taxon_group
celypha-lacunana,Celypha lacunana,8
crassa-unitella,Crassa unitella,8
cantharis-livida,Cantharis livida,16
eudonia-delunella,Eudonia delunella,8
megachile-spec,Megachile spec.,17
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,10
celypha-striana,Celypha striana,8
ichneumon-xanthorius,Ichneumon xanthorius,17
oecetis-ochracea,Oecetis ochracea,6
oedemera-lurida-virescens,Oedemera lurida/virescens,16
philodromus-spec,Philodromus spec.,13
meconema-spec,Meconema spec.,14
crambus-pascuella,Crambus pascuella,8
lucilia-spec,Lucilia spec.,18
yponomeuta-spec,Yponomeuta spec.,8
clepsis-dumicolana,Clepsis dumicolana,8
lagria-spec,Lagria spec.,16
sphaerophoria-spec,Sphaerophoria spec.,18
altica-spec,Altica spec.,16
coleophora-spec,Coleophora spec.,8
acleris-forsskaleana,Acleris forsskaleana,8
anthomyiidae-indet,Anthomyiidae indet.,18
chelostoma-rapunculi,Chelostoma rapunculi,17
crambus-perlella,Crambus perlella,8
sarcophaga-spec,Sarcophaga spec.,18
acentria-ephemerella,Acentria ephemerella,8
cepaea-spec,Cepaea spec.,7
rhinophora-lepida,Rhinophora lepida,18
scymninae-indet,Scymninae indet.,16
thereva-nobilitata,Thereva nobilitata,18
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,13
malva-alcea-malva-moschata,Malva alcea + Malva moschata,10
platyedra-subcinerea,Platyedra subcinerea,8
schoenobius-gigantella,Schoenobius gigantella,8
ancylis-achatana,Ancylis achatana,8
anthomyia-procellaris,Anthomyia procellaris,18
hedya-salicella,Hedya salicella,8
malva-sylvestris-cultivar,Malva sylvestris (cultivar),10
panorpa-vulgaris,Panorpa vulgaris,6
scoparia-ambigualis,Scoparia ambigualis,8
ancistrocerus-spec,Ancistrocerus spec.,17
auplopus-carbonarius,Auplopus carbonarius,17
borkhausenia-nefrax,Borkhausenia nefrax,8
catoptria-verellus,Catoptria verellus,8
colletes-spec,Colletes spec.,17
eudonia-lacustrata,Eudonia lacustrata,8
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,10
mononychus-punctumalbum,Mononychus punctumalbum,16
nephopterix-angustella,Nephopterix angustella,8
tripleurospermum-maritimum-matricaria-chamomilla,Tripleurospermum maritimum + Matricaria chamomilla,10
trypoxylon-spec,Trypoxylon spec.,17
argyresthia-brockeella,Argyresthia brockeella,8
cantharis-spec,Cantharis spec.,16
dolichomitus-complex,Dolichomitus-complex,17
evergestis-extimalis,Evergestis extimalis,8
evergestis-limbata,Evergestis limbata,8
gypsonoma-dealbana,Gypsonoma dealbana,8
leptura-quadrifasciata,Leptura quadrifasciata,16
sapygina-decemguttata,Sapygina decemguttata,17
acleris-hastiana,Acleris hastiana,8
arion-rufus-vulgaris,Arion rufus/vulgaris,7
bucculatrix-cidarella,Bucculatrix cidarella,8
eumenes-spec,Eumenes spec.,17
lauxaniidae-indet,Lauxaniidae indet.,18
leptoceridae-indet,Leptoceridae indet.,6
liocoris-tripustulatus,Liocoris tripustulatus,15
macaroeris-nidicolens,Macaroeris nidicolens,13
scoparia-eudonia-spec,Scoparia/Eudonia spec.,8
syrphus-spec,Syrphus spec.,18
trichius-gallicus-gallicus,Trichius gallicus gallicus,16
aglossa-caprealis,Aglossa caprealis,8
aglossa-pinguinalis,Aglossa pinguinalis,8
agraylea-spec,Agraylea spec.,6
anacampsis-blattariella,Anacampsis blattariella,8
calamotropha-paludella,Calamotropha paludella,8
calliphora-spec,Calliphora spec.,18
campyloneura-virgula,Campyloneura virgula,15
carpatolechia-fugitivella,Carpatolechia fugitivella,8
clogmia-albipunctata,Clogmia albipunctata,18
conocephalus-spec,Conocephalus spec.,14
demeijerea-rufipes,Demeijerea rufipes,18
dianthus-giganteus,Dianthus giganteus,10
dioctria-hyalipennis,Dioctria hyalipennis,18
gelechiidae-indet,Gelechiidae indet.,8
leptocerus-tineiformis,Leptocerus tineiformis,6
mompha-epilobiella,Mompha epilobiella,8
notocelia-uddmanniana,Notocelia uddmanniana,8
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,10
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,8
teleiodes-vulgella,Teleiodes vulgella,8
tephritis-bardanae,Tephritis bardanae,18
tineola-bisselliella,Tineola bisselliella,8
anobiidae-indet,Anobiidae indet.,16
auricularia-mesenterica,Auricularia mesenterica,11
colletes-daviesanus-fodiens-similis,Colletes daviesanus/fodiens/similis,17
coprinellus-micaceus,Coprinellus micaceus,11
deraeocoris-flavilinea,Deraeocoris flavilinea,15
dichrorampha-spec,Dichrorampha spec.,8
dicyphus-epilobii,Dicyphus epilobii,15
ectemnius-spec,Ectemnius spec.,17
epinotia-abbreviana,Epinotia abbreviana,8
eratigena-spec,Eratigena spec.,13
eucosma-cana,Eucosma cana,8
heterotoma-planicornis,Heterotoma planicornis,15
linyphiidae-indet,Linyphiidae indet.,13
nephrotoma-spec,Nephrotoma spec.,18
notoxus-monoceros,Notoxus monoceros,16
orthotrichia-costalis,Orthotrichia costalis,6
paraswammerdamia-nebulella,Paraswammerdamia nebulella,8
phyllobius-pilicornis,Phyllobius pilicornis,16
pimplinae-indet,Pimplinae indet.,17
planuncus-tingitanus-s-l,Planuncus tingitanus s.l.,6
populus-x-canadensis-p-deltoides-x-p-nigra,Populus x canadensis (P. deltoides x P. nigra),10
prays-ruficeps,Prays ruficeps,8
rhagio-tringarius,Rhagio tringarius,18
sciapus-spec,Sciapus spec.,18
scythris-limbella,Scythris limbella,8
silis-ruficollis,Silis ruficollis,16
stenagostus-rhombeus,Stenagostus rhombeus,16
symmorphus-bifasciatus,Symmorphus bifasciatus,17
tenthredo-scrophulariae,Tenthredo scrophulariae,17
torymus-spec,Torymus spec.,17
acleris-holmiana,Acleris holmiana,8
agonopterix-nervosa,Agonopterix nervosa,8
anisodactylus-binotatus,Anisodactylus binotatus,16
apomyelois-bistriatella,Apomyelois bistriatella,8
aristotelia-ericinella,Aristotelia ericinella,8
arocatus-melanocephalus,Arocatus melanocephalus,15
athalia-spec,Athalia spec.,17
caloptilia-semifascia,Caloptilia semifascia,8
chilo-phragmitella,Chilo phragmitella,8
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,6
crabro-peltarius,Crabro peltarius,17
ctenophora-festiva,Ctenophora festiva,18
dichrorampha-petiverella,Dichrorampha petiverella,8
dolichopus-spec,Dolichopus spec.,18
ecnomus-tenellus,Ecnomus tenellus,6
elateridae-indet,Elateridae indet.,16
empoasca-spec,Empoasca spec.,15
enoplognatha-spec,Enoplognatha spec.,13
ethmia-quadrillella,Ethmia quadrillella,8
grypocoris-sexguttatus,Grypocoris sexguttatus,15
harpalus-spec,Harpalus spec.,16
heliophanus-spec,Heliophanus spec.,13
hemicrepidius-niger,Hemicrepidius niger,16
heterocerus-spec,Heterocerus spec.,16
holopyga-generosa,Holopyga generosa,17
julidae-indet,Julidae indet.,13
kleidocerys-resedae,Kleidocerys resedae,15
lathronympha-strigana,Lathronympha strigana,8
limoniidae-indet,Limoniidae indet.,18
macrosiphini,Macrosiphini,Insecta
metzneria-lappella,Metzneria lappella,8
mompha-ochraceella,Mompha ochraceella,8
muscidae-indet,Muscidae indet.,18
palloptera-muliebris,Palloptera muliebris,18
phycitodes-binaevella,Phycitodes binaevella,8
ptychoptera-contaminata,Ptychoptera contaminata,18
