slug,latin_name,common_name,source
cantharis-livida,Cantharis livida,Tawny soldier beetle,known
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,Dune ragwort,derived
ichneumon-xanthorius,Ichneumon xanthorius,Ichneumon wasp,known
oecetis-ochracea,Oecetis ochracea,Long-horned caddisfly,known
clepsis-dumicolana,Clepsis dumicolana,Tortrix moth,derived
lagria-spec,Lagria spec.,Lagriid beetles,derived
cepaea-spec,Cepaea spec.,Banded snails,known
scymninae-indet,Scymninae indet.,Scymnus ladybirds,derived
malva-alcea-malva-moschata,Malva alcea + Malva moschata,Hollyhock mallow and musk mallow (mixed),derived
anthomyia-procellaris,Anthomyia procellaris,Root-fly,known
malva-sylvestris-cultivar,Malva sylvestris (cultivar),Common mallow (cultivar),known
ancistrocerus-spec,Ancistrocerus spec.,Mason wasps,known
borkhausenia-nefrax,Borkhausenia nefrax,Concealer moth,derived
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,Tall melilot and ribbed melilot (mixed),derived
tripleurospermum-maritimum-matricaria-chamomilla,Tripleurospermum maritimum + Matricaria chamomilla,Sea mayweed and scented mayweed (mixed),derived
trypoxylon-spec,Trypoxylon spec.,Organ-pipe mud daubers,known
cantharis-spec,Cantharis spec.,Soldier beetles,derived
dolichomitus-complex,Dolichomitus-complex,Dolichomitus parasitoid wasps,derived
sapygina-decemguttata,Sapygina decemguttata,Ten-spotted club wasp,derived
eumenes-spec,Eumenes spec.,Potter wasps,known
scoparia-eudonia-spec,Scoparia/Eudonia spec.,Grass moths (mixed),derived
agraylea-spec,Agraylea spec.,Micro caddisflies,derived
campyloneura-virgula,Campyloneura virgula,Campyloneura plant bug,known
demeijerea-rufipes,Demeijerea rufipes,Non-biting midge,derived
leptocerus-tineiformis,Leptocerus tineiformis,Long-horned caddisfly,known
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,Pale persicaria and redshank (mixed),derived
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,Ermine moths (mixed),derived
auricularia-mesenterica,Auricularia mesenterica,Tripe fungus,known
deraeocoris-flavilinea,Deraeocoris flavilinea,Plant bug,known
dichrorampha-spec,Dichrorampha spec.,Dichrorampha tortrix moths,derived
dicyphus-epilobii,Dicyphus epilobii,Dicyphus plant bug,derived
ectemnius-spec,Ectemnius spec.,Square-headed wasps,known
eratigena-spec,Eratigena spec.,House spiders,known
orthotrichia-costalis,Orthotrichia costalis,Microcaddisflies,derived
phyllobius-pilicornis,Phyllobius pilicornis,Leaf weevils,known
pimplinae-indet,Pimplinae indet.,Pimpline wasps,derived
planuncus-tingitanus-s-l,Planuncus tingitanus s.l.,Variable cockroach,webfetch
populus-x-canadensis-p-deltoides-x-p-nigra,Populus x canadensis (P. deltoides x P. nigra),Hybrid black poplar,known
sciapus-spec,Sciapus spec.,Long-legged flies,known
silis-ruficollis,Silis ruficollis,Soldier beetle,derived
torymus-spec,Torymus spec.,Torymid wasps,derived
anisodactylus-binotatus,Anisodactylus binotatus,Two-spotted ground beetle,derived
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,Common green lacewing,known
crabro-peltarius,Crabro peltarius,Square-headed wasp,derived
ctenophora-festiva,Ctenophora festiva,Ornate crane fly,derived
dolichopus-spec,Dolichopus spec.,Long-legged flies,known
ecnomus-tenellus,Ecnomus tenellus,Caddisfly,derived
empoasca-spec,Empoasca spec.,Potato leafhoppers,known
enoplognatha-spec,Enoplognatha spec.,Cobweb spiders,known
ethmia-quadrillella,Ethmia quadrillella,Four-spotted ethmia moth,derived
grypocoris-sexguttatus,Grypocoris sexguttatus,Six-spotted plant bug,derived
harpalus-spec,Harpalus spec.,Ground beetles,known
hemicrepidius-niger,Hemicrepidius niger,Black click beetle,derived
heterocerus-spec,Heterocerus spec.,Variegated mud-loving beetles,known
holopyga-generosa,Holopyga generosa,Cuckoo wasps,known
julidae-indet,Julidae indet.,Snake millipedes,known
macrosiphini,Macrosiphini,Aphids,known
palloptera-muliebris,Palloptera muliebris,Flutter fly,webfetch
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,Brambles,known
stenarella-domator,Stenarella domator,Parasitic wasp,derived
synageles-spec,Synageles spec.,ant-mimicking jumping spiders,derived
agromyza-reptans-pseudoreptans,Agromyza reptans/pseudoreptans,Agromyza leaf miner flies,derived
amauromyza-verbasci,Amauromyza verbasci,mullein leaf miner,derived
