slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
eristalis-similis,Eristalis similis,61851,https://static.inaturalist.org/photos/40545820/medium.jpeg,,,"(c) Henk Wallays, all rights reserved",ok,
eryngium-bourgatii,Eryngium bourgatii,208803,https://inaturalist-open-data.s3.amazonaws.com/photos/1078790/medium.jpg,cc-by-nc-nd,"(c) bathyporeia, some rights reserved (CC BY-NC-ND)",ok,
eucosma-campoliliana,Eucosma campoliliana,527188,https://inaturalist-open-data.s3.amazonaws.com/photos/140381988/medium.jpeg,cc-by-nc,"(c) A Emmerson, some rights reserved (CC BY-NC)",ok,
eulithis-prunata,Eulithis prunata,324583,https://inaturalist-open-data.s3.amazonaws.com/photos/949531/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,
euonymus-europaeus,Euonymus europaeus,55847,https://inaturalist-open-data.s3.amazonaws.com/photos/165386172/medium.jpeg,cc-by-nc,"(c) Ricarda Bergen, some rights reserved (CC BY-NC)",ok,
eupithecia-haworthiata,Eupithecia haworthiata,1338316,https://inaturalist-open-data.s3.amazonaws.com/photos/239683639/medium.jpg,cc-by-nc,"(c) Bon Pradhan, some rights reserved (CC BY-NC)",ok,
eupithecia-spec,Eupithecia spec.,123096,https://inaturalist-open-data.s3.amazonaws.com/photos/31225044/medium.jpg,cc-by-nc,"(c) Ryszard, some rights reserved (CC BY-NC)",ok,genus-level
eupithecia-tantillaria,Eupithecia tantillaria,1338807,https://inaturalist-open-data.s3.amazonaws.com/photos/3259572/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,
euthrix-potatoria,Euthrix potatoria,125012,https://inaturalist-open-data.s3.amazonaws.com/photos/306898228/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
eutonia-barbipes,Eutonia barbipes,605390,https://inaturalist-open-data.s3.amazonaws.com/photos/348136340/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
falco-subbuteo,Falco subbuteo,4643,https://static.inaturalist.org/photos/127170560/medium.jpg,cc-by-nc,"(c) Татьяна Спицына, some rights reserved (CC BY-NC)",ok,
filipendula-ulmaria,Filipendula ulmaria,63134,https://inaturalist-open-data.s3.amazonaws.com/photos/51718/medium.jpg,cc-by-nc-nd,"(c) Liisa-Maija Harju, some rights reserved (CC BY-NC-ND)",ok,
flavoparmelia-soredians,Flavoparmelia soredians,355350,https://inaturalist-open-data.s3.amazonaws.com/photos/607687909/medium.jpg,cc-by,"(c) zebedeugalinha, some rights reserved (CC BY)",ok,
fomoria-septembrella,Fomoria septembrella,1147800,https://inaturalist-open-data.s3.amazonaws.com/photos/234900776/medium.jpeg,cc-by-nc,"(c) stallegger, some rights reserved (CC BY-NC)",ok,leaf mines on Hypericum
gammarus-tigrinus,Gammarus tigrinus,483948,https://inaturalist-open-data.s3.amazonaws.com/photos/680942821/medium.jpg,cc-by-nc,"(c) Sateinen, some rights reserved (CC BY-NC)",ok,
ganoderma-lipsiense,Ganoderma lipsiense,48473,https://inaturalist-open-data.s3.amazonaws.com/photos/87978650/medium.jpeg,cc-by-nc,"(c) eventupa, some rights reserved (CC BY-NC)",ok,synonym of Ganoderma applanatum
gastrolepta-anthracina,Gastrolepta anthracina,496581,https://inaturalist-open-data.s3.amazonaws.com/photos/485583532/medium.jpg,cc-by-nc,"(c) Aurea&Ramon, some rights reserved (CC BY-NC)",ok,
gastrophysa-viridula,Gastrophysa viridula,320812,https://inaturalist-open-data.s3.amazonaws.com/photos/73381222/medium.jpeg,cc-by-nc,"(c) Rasmus Allesoee, some rights reserved (CC BY-NC)",ok,
geranium-nodosum,Geranium nodosum,60362,https://inaturalist-open-data.s3.amazonaws.com/photos/91768270/medium.jpg,cc-by-nc,"(c) Gaël, some rights reserved (CC BY-NC)",ok,
glyphotaelius-pellucidus,Glyphotaelius pellucidus,324273,https://inaturalist-open-data.s3.amazonaws.com/photos/600565881/medium.jpg,cc-by-nc,"(c) Hubert Szczygieł, some rights reserved (CC BY-NC)",ok,
graphocephala-fennahi,Graphocephala fennahi,56918,https://inaturalist-open-data.s3.amazonaws.com/photos/64157846/medium.jpg,cc-by-nc,"(c) solomon v. hendrix, some rights reserved (CC BY-NC)",ok,
grapholita-janthinana,Grapholita janthinana,1507296,https://inaturalist-open-data.s3.amazonaws.com/photos/1007897/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,accepted name Aspila janthinana
hadena-compta,Hadena compta,324134,https://inaturalist-open-data.s3.amazonaws.com/photos/417197/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,
halyomorpha-halys,Halyomorpha halys,81923,https://inaturalist-open-data.s3.amazonaws.com/photos/251561287/medium.jpeg,cc-by-nc-nd,"(c) Konrad Zobel, some rights reserved (CC BY-NC-ND)",ok,
harmonia-quadripunctata,Harmonia quadripunctata,131091,https://inaturalist-open-data.s3.amazonaws.com/photos/29044610/medium.jpg,cc-by,"(c) Gustavo Masuzzo, some rights reserved (CC BY)",ok,
