slug,latin_name,common_name,category,family,genus,observations_count
clivina-fossor,Clivina fossor,Digger Slope-rumped Beetle,insect,Carabidae,Clivina,1
cnephasia-spec,Cnephasia spec.,Cnephasia tortrix moths,insect,Tortricidae,Cnephasia,1
cnephasia-stephensiana,Cnephasia stephensiana,Gray Tortrix,insect,Tortricidae,Cnephasia,1
cochylidia-rupicola,Cochylidia rupicola,Hemp-agrimony Conch,insect,Tortricidae,Cochylidia,1
coelioxys-elongatus,Coelioxys elongatus,Dull-vented Sharp-tail Bee,insect,Megachilidae,Coelioxys,1
coelioxys-spec,Coelioxys spec.,Sharp-tail Bee unknown,insect,Megachilidae,Coelioxys,1
coenagrion-spec,Coenagrion spec.,Coenagrionoid Damselflies,insect,Coenagrionidae,Coenagrion,1
coenosia-spec,Coenosia spec.,Tiger Flies,insect,Muscidae,Coenosia,1
coleophora-discordella,Coleophora discordella,Lotus case-bearer,insect,Coleophoridae,Coleophora,1
colomerus-vitis,Colomerus vitis,Grape Erineum Mite,arachnid,Eriophyidae,Colomerus,1
coniopterygidae-indet,Coniopterygidae indet.,Dusty-winged Lacewings,insect,Coniopterygidae,,1
coniopteryx-spec,Coniopteryx spec.,dusty-wings,insect,Coniopterygidae,Coniopteryx,1
convolvulus-tricolor,Convolvulus tricolor,Tricolour Convolvulus,plant,Convolvulaceae,Convolvulus,1
conwentzia-psociformis,Conwentzia psociformis,common wax-fly,insect,Coniopterygidae,Conwentzia,1
coprinellus-micaceus-sl-incl-pallidissimus-saccharinus-truncorum,"Coprinellus micaceus sl, incl. pallidissimus, saccharinus, truncorum",glistening inkcap,fungus,Psathyrellaceae,Coprinellus,1
coprinopsis-atramentaria,Coprinopsis atramentaria,Coprinopsis sect. Atramentariae,fungus,Psathyrellaceae,Coprinopsis,1
coprinopsis-lagopus,Coprinopsis lagopus,hare's foot inkcap,fungus,Psathyrellaceae,Coprinopsis,1
coprinus-spec,Coprinus spec.,inky caps,fungus,Agaricaceae,Coprinus,1
coranus-spec,Coranus spec.,Coranus assassin bugs,insect,Reduviidae,Coranus,1
cordylepherus-viridis,Cordylepherus viridis,green malachite beetle,insect,Malachiidae,Cordylepherus,1
corispermum-pallasii,Corispermum pallasii,Hyssop leaved Tickseed,plant,Amaranthaceae,Corispermum,1
cornus-spec,Cornus spec.,Cornus unknown,plant,Cornaceae,Cornus,1
cosmos-bipinnatus,Cosmos bipinnatus,Purple Mexican Aster,plant,Asteraceae,Cosmos,1
cotoneaster-coriaceus,Cotoneaster coriaceus,Late Cotoneaster,plant,Rosaceae,Cotoneaster,1
cotoneaster-spec,Cotoneaster spec.,Cotoneaster unknown,plant,Rosaceae,Cotoneaster,1
