slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
dilophus-febrilis,Dilophus febrilis,326610,https://static.inaturalist.org/photos/288239326/medium.jpg,,("(c) gernotkunz, all rights reserved"),ok,
dioctria-linearis,Dioctria linearis,359369,https://inaturalist-open-data.s3.amazonaws.com/photos/927677/medium.jpg,cc-by-sa,"(c) Aka, some rights reserved (CC BY-SA)",ok,
diplazontinae-indet,Diplazontinae indet.,373341,https://inaturalist-open-data.s3.amazonaws.com/photos/340686162/medium.jpg,cc-by-nc,"(c) saschaj, some rights reserved (CC BY-NC)",ok,subfamily level
dolichopus-lepidus,Dolichopus lepidus,990835,https://inaturalist-open-data.s3.amazonaws.com/photos/532949095/medium.jpg,cc-by-nc,"(c) Vladimir Bryukhov, some rights reserved (CC BY-NC)",ok,
dolichopus-plumipes,Dolichopus plumipes,260159,https://static.inaturalist.org/photos/236087015/medium.jpg,,("(c) Perk, all rights reserved"),ok,
donacia-clavipes,Donacia clavipes,492674,https://inaturalist-open-data.s3.amazonaws.com/photos/166754760/medium.jpg,cc-by-nc,"(c) Andrey Ponomarev, some rights reserved (CC BY-NC)",ok,
donacia-semicuprea,Donacia semicuprea,460534,https://inaturalist-open-data.s3.amazonaws.com/photos/283100442/medium.jpeg,cc-by-nc-nd,"(c) Stefanie Mückner, some rights reserved (CC BY-NC-ND)",ok,
drosera-rotundifolia,Drosera rotundifolia,52658,https://inaturalist-open-data.s3.amazonaws.com/photos/775538/medium.jpg,cc-by-nd,"(c) Chris Parker, some rights reserved (CC BY-ND)",ok,
dysmachus-trigonus,Dysmachus trigonus,325258,https://inaturalist-open-data.s3.amazonaws.com/photos/60805931/medium.jpg,cc-by,"(c) ajott, some rights reserved (CC BY)",ok,
eccopisa-effractella,Eccopisa effractella,875979,https://inaturalist-open-data.s3.amazonaws.com/photos/209845576/medium.jpeg,cc-by-nc,"(c) ingridaltmann, some rights reserved (CC BY-NC)",ok,
echinochloa-crus-galli,Echinochloa crus-galli,60283,https://inaturalist-open-data.s3.amazonaws.com/photos/38931173/medium.jpeg,cc-by-nc,"(c) Ron Frumkin, some rights reserved (CC BY-NC)",ok,
ectemnius-sexcinctus,Ectemnius sexcinctus,468969,https://inaturalist-open-data.s3.amazonaws.com/photos/2115710/medium.jpg,cc-by-nc-sa,"(c) Stefan Schmidt. ZSM, some rights reserved (CC BY-NC-SA)",ok,pinned specimen
ectobius-vittiventris,Ectobius vittiventris,468973,https://inaturalist-open-data.s3.amazonaws.com/photos/62577220/medium.jpeg,cc-by-nc,"(c) Felix Riegel, some rights reserved (CC BY-NC)",ok,
ectopsocus-briggsi,Ectopsocus briggsi,270671,https://inaturalist-open-data.s3.amazonaws.com/photos/6943536/medium.jpg,cc-by-nc,"(c) C. Mallory, some rights reserved (CC BY-NC)",ok,
eilema-complana,Eilema complana,320004,https://inaturalist-open-data.s3.amazonaws.com/photos/12332381/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
encyrtidae-indet,Encyrtidae indet.,69778,https://inaturalist-open-data.s3.amazonaws.com/photos/18764450/medium.jpg,cc0,"no rights reserved, uploaded by Jesse Rorabaugh",ok,family level
enicospilus-spec,Enicospilus spec.,143968,https://inaturalist-open-data.s3.amazonaws.com/photos/444182163/medium.jpg,cc-by-nc-nd,"(c) Stephen Cresswell, some rights reserved (CC BY-NC-ND)",ok,genus level
ennomos-alniaria,Ennomos alniaria,219175,https://static.inaturalist.org/photos/99481259/medium.jpeg,,("(c) Ruth Escobés, all rights reserved"),ok,
ennomos-quercinaria,Ennomos quercinaria,141848,https://inaturalist-open-data.s3.amazonaws.com/photos/219114333/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
enolmis-acanthella,Enolmis acanthella,325568,https://inaturalist-open-data.s3.amazonaws.com/photos/287167502/medium.jpg,cc-by-nc,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",ok,
ensis-leei,Ensis leei,765132,https://inaturalist-open-data.s3.amazonaws.com/photos/148782809/medium.jpeg,cc-by-nc,"(c) dallenstein, some rights reserved (CC BY-NC)",ok,
epermenia-chaerophyllella,Epermenia chaerophyllella,347430,https://inaturalist-open-data.s3.amazonaws.com/photos/163964699/medium.jpeg,cc-by-nc,"(c) Andrey Ponomarev, some rights reserved (CC BY-NC)",ok,
epilobium-montanum,Epilobium montanum,162364,https://inaturalist-open-data.s3.amazonaws.com/photos/136938720/medium.jpg,cc-by-nc,"(c) Alenka Mihoric, some rights reserved (CC BY-NC)",ok,
epinotia-demarniana,Epinotia demarniana,359777,https://inaturalist-open-data.s3.amazonaws.com/photos/236053383/medium.jpeg,cc-by-nc,"(c) cossus, some rights reserved (CC BY-NC)",ok,
epinotia-immundana,Epinotia immundana,357321,https://inaturalist-open-data.s3.amazonaws.com/photos/164230146/medium.jpg,cc-by-nc,"(c) Andrey Ponomarev, some rights reserved (CC BY-NC)",ok,
