slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
hemerocallis-fulva,Hemerocallis fulva,126583,https://inaturalist-open-data.s3.amazonaws.com/photos/82351245/medium.jpg,cc-by-nc,"(c) Susan Elliott, some rights reserved (CC BY-NC)",ok,
heptatoma-pellucens,Heptatoma pellucens,547151,https://inaturalist-open-data.s3.amazonaws.com/photos/49126014/medium.jpg,cc-by,"(c) Frank Vassen, some rights reserved (CC BY)",ok,
hercostomus-rusticus,Hercostomus rusticus,632283,https://inaturalist-open-data.s3.amazonaws.com/photos/337725307/medium.jpeg,cc-by-nc,"(c) Gábor Keresztes, some rights reserved (CC BY-NC)",ok,
hericium-cirrhatum,Hericium cirrhatum,513329,https://inaturalist-open-data.s3.amazonaws.com/photos/51223336/medium.png,cc-by-nc,"(c) sscorda, some rights reserved (CC BY-NC)",ok,default photo unlicensed - used top-voted obs
herminia-tarsicrinalis,Herminia tarsicrinalis,476140,https://inaturalist-open-data.s3.amazonaws.com/photos/294819550/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
heteroptera-indet,Heteroptera indet.,329958,https://inaturalist-open-data.s3.amazonaws.com/photos/236887658/medium.jpg,cc-by,"(c) Katja Schulz, some rights reserved (CC BY)",ok,indeterminate - used genus Coproica photo
himacerus-apterus,Himacerus apterus,333735,https://inaturalist-open-data.s3.amazonaws.com/photos/522708/medium.jpg,cc-by,"(c) Jon Mortin, some rights reserved (CC BY)",ok,
hippodamia-variegata,Hippodamia variegata,143034,https://inaturalist-open-data.s3.amazonaws.com/photos/12702409/medium.jpg,cc-by-nc,"(c) Simon Grove, some rights reserved (CC BY-NC)",ok,
hippophae-rhamnoides,Hippophae rhamnoides,163812,https://inaturalist-open-data.s3.amazonaws.com/photos/358631916/medium.jpg,cc-by-nc,"(c) ryatova_natalya, some rights reserved (CC BY-NC)",ok,
hirschfeldia-incana,Hirschfeldia incana,53097,https://inaturalist-open-data.s3.amazonaws.com/photos/476671915/medium.jpeg,cc-by,"(c) Shaun Swanepoel, some rights reserved (CC BY)",ok,
holcus-mollis,Holcus mollis,77427,https://inaturalist-open-data.s3.amazonaws.com/photos/409425154/medium.jpeg,cc-by-nc,"(c) Věra Kafková, some rights reserved (CC BY-NC)",ok,
holocnemus-pluchei,Holocnemus pluchei,211210,https://inaturalist-open-data.s3.amazonaws.com/photos/33604273/medium.jpg,cc-by,"(c) Lucas Rubio, some rights reserved (CC BY)",ok,
homoeosoma-sinuella,Homoeosoma sinuella,362639,https://inaturalist-open-data.s3.amazonaws.com/photos/148918804/medium.jpeg,cc-by-nc,"(c) Benoît Segerer, some rights reserved (CC BY-NC)",ok,
hordeum-murinum-subsp-murinum,Hordeum murinum subsp. murinum,52796,https://inaturalist-open-data.s3.amazonaws.com/photos/12852/medium.jpg,cc-by-nc-sa,"(c) Salomé, some rights reserved (CC BY-NC-SA)",ok,used species-level taxon (subsp. not in iNat)
hordeum-secalinum,Hordeum secalinum,199192,https://inaturalist-open-data.s3.amazonaws.com/photos/291727881/medium.jpg,cc-by,"(c) arthur_haendler, some rights reserved (CC BY)",ok,default photo unlicensed - used top-voted obs
hordeum-vulgare,Hordeum vulgare,57182,https://inaturalist-open-data.s3.amazonaws.com/photos/76716288/medium.jpg,cc-by-nc,"(c) sebastianv, some rights reserved (CC BY-NC)",ok,
hyalopterus-pruni,Hyalopterus pruni,143343,https://inaturalist-open-data.s3.amazonaws.com/photos/11872240/medium.jpg,cc-by-nc,"(c) Simon Grove, some rights reserved (CC BY-NC)",ok,
hybomitra-solstitialis,Hybomitra solstitialis,739470,https://inaturalist-open-data.s3.amazonaws.com/photos/153539917/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC)",ok,
hybos-femoratus,Hybos femoratus,904846,https://inaturalist-open-data.s3.amazonaws.com/photos/93967383/medium.jpg,cc-by,"(c) skitterbug, some rights reserved (CC BY)",ok,species photos all-rights-reserved - used family Hybotidae photo
hydriomena-furcata,Hydriomena furcata,1298747,https://inaturalist-open-data.s3.amazonaws.com/photos/161403765/medium.jpg,cc-by,"(c) jimeckert49, some rights reserved (CC BY)",ok,
