slug,latin_name,common_name,category,family,genus,observations_count
harmonia-axyridis-f-succinea,Harmonia axyridis f. succinea,Harlequin Ladybird f. succinea,insect,Coccinellidae,Harmonia,36
agrotis-clavis,Agrotis clavis,Heart and Club,insect,Noctuidae,Agrotis,27
pasiphila-rectangulata,Pasiphila rectangulata,Green Pug,insect,Geometridae,Pasiphila,27
aphomia-sociella,Aphomia sociella,Bee Moth,insect,Pyralidae,Aphomia,25
hedya-nubiferana,Hedya nubiferana,Marbled Orchard Tortrix,insect,Tortricidae,Hedya,25
hofmannophila-pseudospretella,Hofmannophila pseudospretella,Brown House Moth,insect,Oecophoridae,Hofmannophila,24
alcedo-atthis,Alcedo atthis,Common Kingfisher,bird,Alcedinidae,Alcedo,23
celypha-lacunana,Celypha lacunana,Common Marble,insect,Tortricidae,Syricoris,23
crassa-unitella,Crassa unitella,Golden-brown Tubic,insect,Oecophoridae,Borkhausenia,23
eudonia-delunella,Eudonia delunella,Pied Grey,insect,Crambidae,Eudonia,22
megachile-spec,Megachile spec.,"Leafcutter, Mortar, and Resin Bees",insect,Megachilidae,Megachile,22
brassica-nigra,Brassica nigra,Black Mustard,plant,Brassicaceae,Brassica,21
crepis-capillaris,Crepis capillaris,Smooth Hawk's-beard,plant,Asteraceae,Crepis,21
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,Dune ragwort,plant,Asteraceae,Jacobaea,21
celypha-striana,Celypha striana,Barred Marble,insect,Tortricidae,Celypha,20
ichneumon-xanthorius,Ichneumon xanthorius,Ichneumon wasp,insect,Ichneumonidae,Ichneumon,20
oecetis-ochracea,Oecetis ochracea,Long-horned caddisfly,insect,Leptoceridae,Oecetis,20
oedemera-lurida-virescens,Oedemera lurida/virescens,Greenish Oedemera,insect,Oedemeridae,Oedemera,20
phoenicurus-ochruros,Phoenicurus ochruros,Black Redstart,bird,Muscicapidae,Phoenicurus,20
convolvulus-sepium,Convolvulus sepium,Hedge Bindweed,plant,Convolvulaceae,Convolvulus,19
cucullia-scrophulariae,Cucullia scrophulariae,Water Betony,insect,Noctuidae,Shargacucullia,19
mystacides-longicornis,Mystacides longicornis,Grouse wing,insect,Leptoceridae,Mystacides,19
philodromus-spec,Philodromus spec.,Running Crab Spiders,arachnid,Philodromidae,Philodromus,19
polycarpon-tetraphyllum,Polycarpon tetraphyllum,Four-leaved Allseed,plant,Caryophyllaceae,Polycarpon,19
artemisia-vulgaris,Artemisia vulgaris,Mugwort,plant,Asteraceae,Artemisia,18
idaea-seriata,Idaea seriata,Small Dusty Wave,insect,Geometridae,Idaea,18
idaea-fuscovenosa,Idaea fuscovenosa,Dwarf Cream Wave,insect,Geometridae,Idaea,17
meconema-spec,Meconema spec.,Quiet-calling Katydids,insect,Tettigoniidae,Meconema,17
axylia-putris,Axylia putris,Flame,insect,Noctuidae,Axylia,16
camptogramma-bilineata,Camptogramma bilineata,Yellow Shell,insect,Geometridae,Camptogramma,16
crambus-pascuella,Crambus pascuella,Inlaid Grass-veneer,insect,Crambidae,Crambus,16
lucilia-spec,Lucilia spec.,Greenbottle Flies,other,"","",16
polistes-dominula,Polistes dominula,European Paper Wasp,insect,Eumenidae,Polistes,16
stachys-sylvatica,Stachys sylvatica,Hedge Woundwort,plant,Lamiaceae,Stachys,16
yponomeuta-spec,Yponomeuta spec.,Small Ermine Moths,insect,Yponomeutidae,Yponomeuta,16
hemithea-aestivaria,Hemithea aestivaria,Common Emerald,insect,Geometridae,Hemithea,15
oligia-spec,Oligia spec.,Minor unknown,insect,Noctuidae,Oligia,15
peribatodes-rhomboidaria,Peribatodes rhomboidaria,Willow Beauty,insect,Geometridae,Peribatodes,15
aeshna-isoceles,Aeshna isoceles,Green-eyed Hawker,insect,Aeshnidae,Aeshna,14
chironomidae-indet,Chironomidae indet.,Unidentified Non-biting Midge,insect,Chironomidae,"",14
harmonia-axyridis-f-spectabilis,Harmonia axyridis f. spectabilis,Harlequin Ladybird f. spectabilis,insect,Coccinellidae,Harmonia,14
lagria-spec,Lagria spec.,Lagriid beetles,insect,Tenebrionidae,Lagria,14
mythimna-impura,Mythimna impura,Smoky Wainscot,insect,Noctuidae,Mythimna,14
oenothera-spec,Oenothera spec.,Evening primrose unknown,plant,Onagraceae,Oenothera,14
riparia-riparia,Riparia riparia,Sand Martin,bird,Hirundinidae,Riparia,14
sphaerophoria-spec,Sphaerophoria spec.,Globetails,insect,Syrphidae,Sphaerophoria,14
stachys-palustris,Stachys palustris,Marsh Woundwort,plant,Lamiaceae,Stachys,14
altica-spec,Altica spec.,Metallic Flea Beetles,insect,Chrysomelidae,Altica,13
coleophora-spec,Coleophora spec.,Casebearers,other,"","",13
gasteruption-spec,Gasteruption spec.,Carrot Wasp unknown,insect,Gasteruptiidae,Gasteruption,13
idaea-rusticata,Idaea rusticata,Least Carpet,insect,Geometridae,Idaea,13
limnephilus-marmoratus,Limnephilus marmoratus,Cinnamon sedge,insect,Limnephilidae,Limnephilus,13
lomaspilis-marginata,Lomaspilis marginata,Clouded Border,insect,Geometridae,Lomaspilis,13
microlepidoptera-indet,Microlepidoptera indet.,Unidentified micro moth,other,"","",13
sisymbrium-officinale,Sisymbrium officinale,Hedge Mustard,plant,Brassicaceae,Sisymbrium,13
acleris-forsskaleana,Acleris forsskaleana,Maple Leaftier Moth,insect,Tortricidae,Acleris,12
andrena-flavipes,Andrena flavipes,Yellow-legged Mining Bee,insect,Andrenidae,Andrena,12
anthomyiidae-indet,Anthomyiidae indet.,Root-maggot Flies,insect,Anthomyiidae,"",12
apamea-monoglypha,Apamea monoglypha,Dark Arches,insect,Noctuidae,Apamea,12
chelostoma-rapunculi,Chelostoma rapunculi,Rampion Scissor Bee,insect,Megachilidae,Chelostoma,12
chorthippus-biguttulus-group,Chorthippus biguttulus-group,Biguttulus-group,insect,Acrididae,Chorthippus,12
coreus-marginatus,Coreus marginatus,Dock Bug,insect,Coreidae,Coreus,12
crambus-perlella,Crambus perlella,Yellow Satin Veneer,insect,Crambidae,Crambus,12
dipsacus-pilosus,Dipsacus pilosus,Small Teasel,plant,Caprifoliaceae,Dipsacus,12
ditula-angustiorana,Ditula angustiorana,Red-barred Tortrix,insect,Tortricidae,Ditula,12
megachile-willughbiella,Megachile willughbiella,Willughby's Leafcutter Bee,insect,Megachilidae,Megachile,12
mormo-maura,Mormo maura,Old Lady,insect,Noctuidae,Mormo,12
sarcophaga-spec,Sarcophaga spec.,Common Flesh Flies,insect,Sarcophagidae,Sarcophaga,12
acentria-ephemerella,Acentria ephemerella,Water Veneer,insect,Crambidae,Acentria,11
cepaea-spec,Cepaea spec.,Banded snails,other,"","",11
cirsium-vulgare,Cirsium vulgare,Spear Thistle,plant,Asteraceae,Cirsium,11
crocallis-elinguaria,Crocallis elinguaria,Scalloped Oak,insect,Geometridae,Crocallis,11
graphosoma-italicum,Graphosoma italicum,Striped shield bug,insect,Pentatomidae,Graphosoma,11
gymnoscelis-rufifasciata,Gymnoscelis rufifasciata,Double-striped Pug,insect,Geometridae,Gymnoscelis,11
hylaeus-communis,Hylaeus communis,Common Yellow-face Bee,insect,Colletidae,Hylaeus,11
pyrrhocoris-apterus,Pyrrhocoris apterus,Firebug,insect,Pyrrhocoridae,Pyrrhocoris,11
rhinophora-lepida,Rhinophora lepida,Pouting Woodlouse-fly,insect,Calliphoridae,Rhinophora,11
scymninae-indet,Scymninae indet.,Scymnus ladybirds,other,"","",11
thereva-nobilitata,Thereva nobilitata,Common Stiletto,insect,Therevidae,Thereva,11
apterogenum-ypsillon,Apterogenum ypsillon,Dingy Shears,insect,Noctuidae,Apterogenum,10
bufo-bufo,Bufo bufo,Common Toad,amphibian,Bufonidae,Bufo,10
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,Candy-striped Spider complex,arachnid,Theridiidae,Enoplognatha,10
eristalis-horticola,Eristalis horticola,Stripe-winged Drone Fly,insect,Syrphidae,Cheilosia,10
malva-alcea-malva-moschata,Malva alcea + Malva moschata,Hollyhock mallow and musk mallow (mixed),other,"","",10
medicago-lupulina,Medicago lupulina,Black Medick,plant,Fabaceae,Medicago,10
pisaura-mirabilis,Pisaura mirabilis,Nursery-web Spider,arachnid,Pisauridae,Pisaura,10
platyedra-subcinerea,Platyedra subcinerea,Cotton stem moth,insect,Gelechiidae,Platyedra,10
schoenobius-gigantella,Schoenobius gigantella,Giant Grass-veneer,insect,Crambidae,Schoenobius,10
sonchus-asper,Sonchus asper,Prickly Sow-thistle,plant,Asteraceae,Sonchus,10
tragopogon-pratensis,Tragopogon pratensis,Goat's-beard,plant,Asteraceae,Tragopogon,10
anas-platyrhynchos-f-domesticus,Anas platyrhynchos f. domesticus,Domestic Duck,bird,Anatidae,Anas,9
ancylis-achatana,Ancylis achatana,Triangle-marked Roller,insect,Tortricidae,Ancylis,9
anthidium-manicatum,Anthidium manicatum,Common Wool Carder Bee,insect,Megachilidae,Anthidium,9
anthomyia-procellaris,Anthomyia procellaris,Root-fly,insect,Anthomyiidae,Anthomyia,9
caltha-palustris,Caltha palustris,Marsh-marigold,plant,Ranunculaceae,Caltha,9
dasypoda-hirtipes,Dasypoda hirtipes,Pantaloon Bee,insect,Melittidae,Dasypoda,9
diplotaxis-tenuifolia,Diplotaxis tenuifolia,Perennial Wall-rocket,plant,Brassicaceae,Diplotaxis,9
epipactis-helleborine,Epipactis helleborine,Broad-leaved Helleborine,plant,Orchidaceae,Epipactis,9
hedya-salicella,Hedya salicella,White-backed Marble,insect,Tortricidae,Hedya,9
heterocera-indet,Heterocera indet.,Unidentified Moth,insect,Noctuidae,Heterocera,9
malva-sylvestris-cultivar,Malva sylvestris (cultivar),Common mallow (cultivar),plant,Malvaceae,Malva,9
nycticorax-nycticorax,Nycticorax nycticorax,Black-crowned Night Heron,bird,Ardeidae,Nycticorax,9
oenothera-x-fallax-o-biennis-x-o-glazioviana,Oenothera x fallax (O. biennis x O. glazioviana),Intermediate Evening-Primrose,plant,Onagraceae,Oenothera,9
panorpa-vulgaris,Panorpa vulgaris,Meadow Scorpionfly,insect,Panorpidae,Panorpa,9
potentilla-anserina,Potentilla anserina,Silverweed,plant,Rosaceae,Argentina,9
rhaphigaster-nebulosa,Rhaphigaster nebulosa,Mottled Shieldbug,insect,Pentatomidae,Rhaphigaster,9
scoparia-ambigualis,Scoparia ambigualis,European Common Grey,insect,Crambidae,Scoparia,9
vicia-villosa,Vicia villosa,Fodder Vetch,plant,Fabaceae,Vicia,9
ancistrocerus-spec,Ancistrocerus spec.,Mason wasps,other,"","",8
anthemis-tinctoria,Anthemis tinctoria,Yellow Chamomile,plant,Asteraceae,Cota,8
auplopus-carbonarius,Auplopus carbonarius,Potter Spider Wasp,insect,Pompilidae,Auplopus,8
borkhausenia-nefrax,Borkhausenia nefrax,Concealer moth,insect,Oecophoridae,Borkhausenia,8
catoptria-verellus,Catoptria verellus,Marbled Grass-veneer,insect,Crambidae,Catoptria,8
colletes-spec,Colletes spec.,Beach Dune Cellophane Bee,insect,Colletidae,Colletes,8
emmelina-monodactyla,Emmelina monodactyla,Common Plume,insect,Pterophoridae,Emmelina,8
eudonia-lacustrata,Eudonia lacustrata,Little grey,insect,Crambidae,Eudonia,8
eurydema-oleracea,Eurydema oleracea,Cabbage Bug,insect,Pentatomidae,Eurydema,8
