slug,latin_name,common_name,category,family,genus,observations_count
hylaeus-nigritus,Hylaeus nigritus,Black Masked Bee,insect,Colletidae,Hylaeus,1
orthonotus-rufifrons,Orthonotus rufifrons,Orthonotus plant bug,insect,Miridae,Orthonotus,1
orthops-basalis,Orthops basalis,Orthops plant bug,insect,Miridae,Orthops,1
orthotylus-marginalis,Orthotylus marginalis,Orthotylus plant bug,insect,Miridae,Orthotylus,1
ostrya-carpinifolia,Ostrya carpinifolia,Hop hornbeam,plant,Betulaceae,Ostrya,1
passaloecus-corniger,Passaloecus corniger,Aphid-hunting wasp,insect,Crabronidae,Passaloecus,1
passaloecus-spec,Passaloecus spec.,Picket-boring Aphid Wasps,insect,Crabronidae,Passaloecus,1
pechipogo-plumigeralis,Pechipogo plumigeralis,Plumed Fan-foot,insect,Erebidae,Pechipogo,1
phyllonorycter-comparella,Phyllonorycter comparella,Winter poplar midget,insect,Gracillariidae,Phyllonorycter,1
phyllonorycter-lautella,Phyllonorycter lautella,Fiery oak midget,insect,Gracillariidae,Phyllonorycter,1
phyllonorycter-muelleriella,Phyllonorycter muelleriella,Western Midget,insect,Gracillariidae,Phyllonorycter,1
polyxenus-lagurus,Polyxenus lagurus,Bristly Millipede,insect,Polyxenidae,Polyxenus,1
pompilus-cinereus,Pompilus cinereus,grey spider wasp,insect,Pompilidae,Pompilus,1
populus-nigra-italica,Populus nigra 'Italica',Lombardy Poplar,plant,Salicaceae,Populus,1
populus-spec,Populus spec.,Cottonwood unknown,plant,Salicaceae,Populus,1
scraptiidae-indet,Scraptiidae indet.,False Flower Beetles,insect,Scraptiidae,,1
scrophularia-auriculata,Scrophularia auriculata,Water Figwort,plant,Scrophulariaceae,Scrophularia,1
scrophularia-umbrosa,Scrophularia umbrosa,Green Figwort,plant,Scrophulariaceae,Scrophularia,1
scutellaria-columnae,Scutellaria columnae,Large Skullcap,plant,Lamiaceae,Scutellaria,1
scutigera-coleoptrata,Scutigera coleoptrata,House centipede,insect,Scutigeridae,Scutigera,1
scymnus-schmidti-gr,Scymnus schmidti-gr,Schmidt's ladybird,other,,,1
scythropia-crataegella,Scythropia crataegella,Hawthorn Moth,insect,Yponomeutidae,Scythropia,1
sedum-pallidum,Sedum pallidum,Turkish stonecrop,plant,Crassulaceae,Sedum,1
segestria-florentina,Segestria florentina,Green-fanged Tube Web Spider,arachnid,Segestriidae,Segestria,1
subacronicta-megacephala,Subacronicta megacephala,Poplar Grey,insect,Noctuidae,Acronicta,1
succisa-pratensis,Succisa pratensis,Devil's-bit Scabious,plant,Caprifoliaceae,Succisa,1
suillia-spec,Suillia spec.,heleomyzid fly,insect,Heleomyzidae,Suillia,1
thysanoptera-indet,Thysanoptera indet.,Thrips unknown,insect,,,1
tilia-tomentosa,Tilia tomentosa,Silver Lime,plant,Malvaceae,Tilia,1
urophora-cardui,Urophora cardui,Thistle Gall Fly,insect,Tephritidae,Urophora,1
verbascum-spec,Verbascum spec.,Mullein unknown,plant,Scrophulariaceae,Verbascum,1
verbascum-speciosum,Verbascum speciosum,Hungarian Mullein,plant,Scrophulariaceae,Verbascum,1
verbena-officinalis,Verbena officinalis,Vervain,plant,Verbenaceae,Verbena,1
zimmermannia-longicaudella-atrifrontella,Zimmermannia longicaudella / atrifrontella,nepticulid moth,insect,Nepticulidae,Zimmermannia,1
zonitoides-nitidus,Zonitoides nitidus,Black gloss,mollusc,Gastrodontidae,Zonitoides,1
zoropsis-spinimana,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,arachnid,Zoropsidae,Zoropsis,1
zygoptera-indet,Zygoptera indet.,Damselfly unknown,other,,Zygoptera,1
cedrobium-laportei,Cedrobium laportei,Cedar woolly aphid,insect,Aphididae,Cinara,0
