slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
microlepidoptera-indet,Microlepidoptera indet.,,,,,"no_good_photo","not a formal taxon in iNaturalist; informal grouping only"
athalia-spec,Athalia spec.,333157,https://inaturalist-open-data.s3.amazonaws.com/photos/428610639/medium.jpeg,cc-by-nc,"(c) jim, some rights reserved (CC BY-NC), uploaded by jim",ok,genus-level photo sawfly
bolboschoenus-laticarpus,Bolboschoenus laticarpus,435864,https://inaturalist-open-data.s3.amazonaws.com/photos/30620944/medium.jpeg,cc-by-nc,"(c) Alexey P. Seregin, some rights reserved (CC BY-NC), uploaded by Alexey P. Seregin",ok,
borago-officinalis,Borago officinalis,52287,https://inaturalist-open-data.s3.amazonaws.com/photos/60861953/medium.jpg,cc-by-nc,"(c) Paul Werner Süss, some rights reserved (CC BY-NC), uploaded by Paul Werner Süss",ok,
brachmia-blandella,Brachmia blandella,806559,https://inaturalist-open-data.s3.amazonaws.com/photos/217131692/medium.jpeg,cc-by,"(c) ingridaltmann, some rights reserved (CC BY)",ok,
calendula-officinalis,Calendula officinalis,75931,https://inaturalist-open-data.s3.amazonaws.com/photos/55421255/medium.jpg,cc-by-nc,"(c) Rosalind Helfand, some rights reserved (CC BY-NC)",ok,from observation 35165834
caradrina-kadenii,Caradrina kadenii,174488,https://inaturalist-open-data.s3.amazonaws.com/photos/67570185/medium.jpg,cc-by-nc,"(c) Pavel Vojtek, some rights reserved (CC BY-NC), uploaded by Pavel Vojtek",ok,
carduus-nutans,Carduus nutans,76007,https://inaturalist-open-data.s3.amazonaws.com/photos/8988059/medium.jpg,cc-by-nc,"(c) Veronika A. Johansson, some rights reserved (CC BY-NC), uploaded by Veronika A. Johansson",ok,
carex-hirta,Carex hirta,159973,https://inaturalist-open-data.s3.amazonaws.com/photos/2198289/medium.jpg,cc-by-nc,"(c) Jan Krzeptowski, some rights reserved (CC BY-NC)",ok,from observation 1812521
cassida-rubiginosa,Cassida rubiginosa,216166,https://inaturalist-open-data.s3.amazonaws.com/photos/2593851/medium.jpg,cc-by-nc-nd,"(c) Pete McGregor, some rights reserved (CC BY-NC-ND), uploaded by Pete McGregor",ok,
centaurium-erythraea,Centaurium erythraea,56236,https://inaturalist-open-data.s3.amazonaws.com/photos/606419153/medium.jpg,cc-by-nc-sa,"(c) Hans Hillewaert, some rights reserved (CC BY-NC-SA), uploaded by Hans Hillewaert",ok,
cerastium-fontanum,Cerastium fontanum,1495761,https://inaturalist-open-data.s3.amazonaws.com/photos/244474249/medium.jpg,cc-by-nc,"(c) Vladimir Bryukhov, some rights reserved (CC BY-NC), uploaded by Vladimir Bryukhov",ok,
ceratostigma-plumbaginoides,Ceratostigma plumbaginoides,160358,https://inaturalist-open-data.s3.amazonaws.com/photos/436599813/medium.jpg,cc-by-nc,"(c) gerritvede, some rights reserved (CC BY-NC), uploaded by gerritvede",ok,
cotinus-coggygria,Cotinus coggygria,133366,https://inaturalist-open-data.s3.amazonaws.com/photos/136745491/medium.jpg,cc-by-nc,"(c) Jeremy Schewe, some rights reserved (CC BY-NC), uploaded by Jeremy Schewe",ok,
orthonotus-rufifrons,Orthonotus rufifrons,735390,https://inaturalist-open-data.s3.amazonaws.com/photos/210731093/medium.jpg,cc-by-sa,"(c) Gilles San Martin, some rights reserved (CC BY-SA), uploaded by Gilles San Martin",ok,
orthops-basalis,Orthops basalis,500930,https://inaturalist-open-data.s3.amazonaws.com/photos/235686607/medium.jpg,cc-by-nc,"(c) Barış Çerçi, some rights reserved (CC BY-NC), uploaded by Barış Çerçi",ok,
orthotylus-marginalis,Orthotylus marginalis,527588,https://inaturalist-open-data.s3.amazonaws.com/photos/74460120/medium.jpeg,cc-by-nc,"(c) bscrl, some rights reserved (CC BY-NC), uploaded by bscrl",ok,
ostrya-carpinifolia,Ostrya carpinifolia,334194,https://inaturalist-open-data.s3.amazonaws.com/photos/99645677/medium.jpg,cc0,"no rights reserved, uploaded by carquo",ok,
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,941713,https://inaturalist-open-data.s3.amazonaws.com/photos/457475729/medium.jpeg,cc-by-nc,"(c) Francis J. Golden, some rights reserved (CC BY-NC)",ok,used Salvia yangii (accepted name for Russian sage parent)
subacronicta-megacephala,Subacronicta megacephala,357477,https://inaturalist-open-data.s3.amazonaws.com/photos/134772532/medium.jpeg,cc-by-nc,"(c) Koos Uys, some rights reserved (CC BY-NC), uploaded by Koos Uys",ok,taxon listed as Acronicta megacephala in iNat
succisa-pratensis,Succisa pratensis,131203,https://inaturalist-open-data.s3.amazonaws.com/photos/571356/medium.jpg,cc-by-sa,"(c) Udo Schmidt, some rights reserved (CC BY-SA)",ok,
suillia-spec,Suillia spec.,319830,https://inaturalist-open-data.s3.amazonaws.com/photos/94646425/medium.jpg,cc-by-nc,"(c) Walwyn, some rights reserved (CC BY-NC)",ok,genus-level photo
qualitative,qualitative,,,,,"no_good_photo","conceptual/qualitative entry; not a real taxon"
roosting-garden-birds-in-winter,Roosting garden birds in winter,,,,,"no_good_photo","collective/conceptual entry; not a real taxon"
