slug,latin_name,common_name,category,family,genus,observations_count
baccha-elongata,Baccha elongata,Common Dainty,insect,Syrphidae,Baccha,3
bolboschoenus-maritimus,Bolboschoenus maritimus,Sea Club-rush,plant,Cyperaceae,Bolboschoenus,3
aesculus-hippocastanum,Aesculus hippocastanum,Horse-chestnut,plant,Sapindaceae,Aesculus,1
aesculus-parviflora,Aesculus parviflora,Dwarf buckeye,plant,Sapindaceae,Aesculus,1
caryocolum-fischerella,Caryocolum fischerella,Caryocolum moth,insect,Gelechiidae,Caryocolum,1
castor-spec,Castor spec.,Beaver unknown,mammal,Castoridae,Castor,1
catapodium-rigidum,Catapodium rigidum,Fern-grass,plant,Poaceae,Catapodium,1
catocala-fraxini,Catocala fraxini,Clifden Nonpareil,insect,Erebidae,Catocala,1
celypha-siderana,Celypha siderana,Phiaris tortrix moth,insect,Tortricidae,Phiaris,1
clinopodium-vulgare,Clinopodium vulgare,Wild Basil,plant,Lamiaceae,Clinopodium,1
cotoneaster-spec,Cotoneaster spec.,Cotoneaster unknown,plant,Rosaceae,Cotoneaster,1
cucullia-chamomillae,Cucullia chamomillae,Chamomile Shark,insect,Noctuidae,Cucullia,1
cybister-lateralimarginalis,Cybister lateralimarginalis,peardrop beetle,insect,Dytiscidae,Cybister,1
cylindroiulus-caeruleocinctus,Cylindroiulus caeruleocinctus,blue-ringed millipede,insect,Julidae,Cylindroiulus,1
cynara-cardunculus,Cynara cardunculus,Globe Artichoke,plant,Asteraceae,Cynara,1
cynara-scolymus,Cynara scolymus,Globe artichoke,plant,Asteraceae,Cynara,1
cynips-divisa,Cynips divisa,Red-pea gall,insect,Cynipidae,Cynips,1
cyphostethus-tristriatus,Cyphostethus tristriatus,Juniper Shield Bug,insect,Acanthosomatidae,Cyphostethus,1
daboecia-cantabrica,Daboecia cantabrica,St Dabeoc's Heath,plant,Ericaceae,Daboecia,1
dacrymyces-stillatus,Dacrymyces stillatus,common jellyspot,fungus,Dacrymycetaceae,Dacrymyces,1
dictyna-arundinacea,Dictyna arundinacea,Common mesh-weaver,arachnid,Dictynidae,Dictyna,1
dicyphus-globulifer,Dicyphus globulifer,Globular-glandular plant bug,insect,Miridae,Dicyphus,1
eupithecia-icterata,Eupithecia icterata,Tawny Speckled Pug,insect,Geometridae,Eupithecia,1
eupithecia-linariata,Eupithecia linariata,Toadflax Pug,insect,Geometridae,Eupithecia,1
eupithecia-pulchellata-linariata,Eupithecia pulchellata / linariata,Foxglove Pug,insect,Geometridae,Eupithecia,1
ganoderma-resinaceum,Ganoderma resinaceum,Resinous polypore,fungus,Polyporaceae,Ganoderma,1
gelis-spec,Gelis spec.,Gelis parasitoid wasp,insect,Ichneumonidae,Gelis,1
hylaeus-gibbus-gr,Hylaeus gibbus-gr.,Hylaeus confusus/incongruus/gibbus/pictus,insect,Colletidae,Hylaeus,1
hylaeus-hyalinatus,Hylaeus hyalinatus,Hairy Yellow-face Bee,insect,Colletidae,Hylaeus,1
hylaeus-nigritus,Hylaeus nigritus,Black Masked Bee,insect,Colletidae,Hylaeus,1
