slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
tinea-pellionella,Tinea pellionella,193928,https://inaturalist-open-data.s3.amazonaws.com/photos/33866243/medium.jpg,cc-by-nc,"(c) hullyjr, some rights reserved (CC BY-NC)",ok,
tiphia-minuta,Tiphia minuta,1018792,https://inaturalist-open-data.s3.amazonaws.com/photos/61400407/medium.jpg,cc-by-nc,"(c) Rafael, some rights reserved (CC BY-NC)",ok,specimen collage
tipula-fascipennis,Tipula fascipennis,1634693,https://inaturalist-open-data.s3.amazonaws.com/photos/389863571/medium.jpg,cc-by-nc,"(c) Pia Odgaard, some rights reserved (CC BY-NC)",ok,
tipula-lunata,Tipula lunata,1634687,https://inaturalist-open-data.s3.amazonaws.com/photos/130646520/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC)",ok,
tipula-paludosa-oleracea,Tipula paludosa/oleracea,61917,https://inaturalist-open-data.s3.amazonaws.com/photos/50041321/medium.jpg,cc-by,"(c) Tina Ellegaard Poulsen, some rights reserved (CC BY)",ok,
tipulidae-indet,Tipulidae indet.,51225,https://inaturalist-open-data.s3.amazonaws.com/photos/111853475/medium.jpeg,cc-by-sa,"(c) Uwe Schneehagen, some rights reserved (CC BY-SA)",ok,alternate from observations
torilis-japonica,Torilis japonica,133918,https://inaturalist-open-data.s3.amazonaws.com/photos/176509928/medium.jpg,cc-by-sa,"(c) Douglas Goldman, some rights reserved (CC BY-SA)",ok,
torilis-nodosa,Torilis nodosa,53304,https://inaturalist-open-data.s3.amazonaws.com/photos/37308308/medium.jpg,cc-by-nc,"(c) cameralenswrangler, some rights reserved (CC BY-NC)",ok,
tortrix-viridana,Tortrix viridana,344782,https://inaturalist-open-data.s3.amazonaws.com/photos/201194771/medium.jpg,cc0,"no rights reserved, uploaded by Jean-Paul Boerekamps",ok,
tragopogon-dubius,Tragopogon dubius,54143,https://inaturalist-open-data.s3.amazonaws.com/photos/81454820/medium.jpeg,cc-by-nc,"(c) Sokolov Yuriy Ivanovich, some rights reserved (CC BY-NC)",ok,alternate from observations
trametes-versicolor,Trametes versicolor,1153556,https://inaturalist-open-data.s3.amazonaws.com/photos/27005174/medium.jpg,cc0,"no rights reserved, uploaded by Ken Kneidel",ok,
tremulicerus-tremulae,Tremulicerus tremulae,914830,https://inaturalist-open-data.s3.amazonaws.com/photos/244526844/medium.jpeg,cc-by-nc,"(c) tuggip_t, some rights reserved (CC BY-NC)",ok,alternate from observations
tremulicerus-vitreus,Tremulicerus vitreus,624501,https://inaturalist-open-data.s3.amazonaws.com/photos/678901138/medium.jpg,cc-by-nc,"(c) pepper_paper, some rights reserved (CC BY-NC)",ok,alternate from observations
trichodes-apiarius,Trichodes apiarius,55048,https://inaturalist-open-data.s3.amazonaws.com/photos/158406009/medium.jpg,cc-by,"(c) Сергей Неклюдов, some rights reserved (CC BY)",ok,
trifolium-incarnatum,Trifolium incarnatum,64268,https://inaturalist-open-data.s3.amazonaws.com/photos/73250250/medium.jpg,cc-by-nc-sa,"(c) Greg Peterson, some rights reserved (CC BY-NC-SA)",ok,
trifolium-resupinatum,Trifolium resupinatum,79429,https://inaturalist-open-data.s3.amazonaws.com/photos/380716931/medium.jpg,cc-by-nc,"(c) Bernard Noguès, some rights reserved (CC BY-NC)",ok,alternate from observations
trifolium-rubens,Trifolium rubens,244538,https://inaturalist-open-data.s3.amazonaws.com/photos/139703492/medium.jpeg,cc-by-nc,"(c) Andrius Kubilius, some rights reserved (CC BY-NC)",ok,alternate from observations
trisetum-flavescens,Trisetum flavescens,170025,https://inaturalist-open-data.s3.amazonaws.com/photos/35156672/medium.jpeg,cc-by-sa,"(c) Gilles San Martin, some rights reserved (CC BY-SA)",ok,
triteleia-laxa,Triteleia laxa,51085,https://inaturalist-open-data.s3.amazonaws.com/photos/60796/medium.jpg,cc-by-nc-nd,"(c) Philip Bouchard, some rights reserved (CC BY-NC-ND)",ok,
trupanea-stellata,Trupanea stellata,546372,https://inaturalist-open-data.s3.amazonaws.com/photos/24572799/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
turritella-socordia,Turritella socordia,246573,https://inaturalist-open-data.s3.amazonaws.com/photos/50091168/medium.jpeg,cc-by-nc,"(c) Arno Beidts, some rights reserved (CC BY-NC)",ok,species not in iNat; used genus Turritella photo
typha-angustifolia,Typha angustifolia,60316,https://inaturalist-open-data.s3.amazonaws.com/photos/143259898/medium.jpeg,cc-by-nc,"(c) Jeremy Collison, some rights reserved (CC BY-NC)",ok,
ulmus-spec,Ulmus spec.,53549,https://inaturalist-open-data.s3.amazonaws.com/photos/233093151/medium.jpg,cc-by-sa,"(c) Douglas Goldman, some rights reserved (CC BY-SA)",ok,genus-level photo
uloborus-plumipes,Uloborus plumipes,372517,https://inaturalist-open-data.s3.amazonaws.com/photos/61642771/medium.jpg,cc-by-sa,"(c) AJC1, some rights reserved (CC BY-SA)",ok,
umbilicus-rupestris,Umbilicus rupestris,129454,https://inaturalist-open-data.s3.amazonaws.com/photos/53798543/medium.jpeg,cc-by-nc,"(c) David Earl, some rights reserved (CC BY-NC)",ok,
unio-tumidus,Unio tumidus,151760,https://inaturalist-open-data.s3.amazonaws.com/photos/74344282/medium.jpeg,cc-by-nc,"(c) Sokolov Yuriy Ivanovich, some rights reserved (CC BY-NC)",ok,
