slug,latin_name,common_name,category,family,genus,observations_count
pelosia-obtusa,Pelosia obtusa,Small Dotted Footman,insect,Erebidae,Pelosia,1
peribalus-strictus,Peribalus strictus,Vernal Shieldbug,insect,Pentatomidae,Holcostethus,1
peribatodes-secundaria,Peribatodes secundaria,Feathered Beauty,insect,Geometridae,Peribatodes,1
periclista-spec,Periclista spec.,Oak sawfly,insect,Tenthredinidae,Periclista,1
peripsychoda-auriculata,Peripsychoda auriculata,Moth fly,insect,Psychodidae,Peripsychoda,1
peripsychoda-spec,Peripsychoda spec.,Moth fly,insect,Psychodidae,Peripsychoda,1
perizoma-alchemillata,Perizoma alchemillata,Small Rivulet,insect,Geometridae,Perizoma,1
perizoma-flavofasciata,Perizoma flavofasciata,Sandy Carpet,insect,Geometridae,Perizoma,1
perovskia-abrotanoides,Perovskia abrotanoides,Clouding Sage,plant,Lamiaceae,Salvia,1
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,Russian sage hybrid,plant,Lamiaceae,Salvia,1
perovskia-spec,Perovskia spec.,Perovskia unknown,plant,Lamiaceae,Salvia,1
persicaria-amphibia,Persicaria amphibia,Amphibious Bistort,plant,Polygonaceae,Persicaria,1
persicaria-lapathifolia,Persicaria lapathifolia,Pale Persicaria,plant,Polygonaceae,Persicaria,1
petrorhagia-saxifraga,Petrorhagia saxifraga,Tunicflower,plant,Caryophyllaceae,Petrorhagia,1
petunia-x-punctata-p-axillaris-x-p-integrifolia,Petunia x punctata (P. axillaris x P. integrifolia),Petunia,plant,Solanaceae,Petunia,1
phania-funesta,Phania funesta,Phania tachinid fly,insect,Tachinidae,Phania,1
philereme-transversata,Philereme transversata,Dark Umber,insect,Geometridae,Philereme,1
philonicus-albiceps,Philonicus albiceps,Dune robberfly,insect,Asilidae,Philonicus,1
philopedon-plagiatum,Philopedon plagiatum,Marram Weevil,insect,Curculionidae,Philopedon,1
phoridae-indet,Phoridae indet.,Humpbacked Flies,other,,,1
photedes-minima,Photedes minima,Small Dotted Buff,insect,Noctuidae,Photedes,1
phragmataecia-castaneae,Phragmataecia castaneae,Reed Leopard,insect,Cossidae,Phragmataecia,1
phycita-roborella,Phycita roborella,Dotted Oak Knot-horn,insect,Pyralidae,Phycita,1
phyllocnistis-xenia,Phyllocnistis xenia,Kent bent-wing,insect,Gracillariidae,Phyllocnistis,1
