slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
harmonia-axyridis-f-succinea,Harmonia axyridis f. succinea,48484,https://inaturalist-open-data.s3.amazonaws.com/photos/597968527/medium.jpg,pd,Francisco Welter-Schultes no known copyright restrictions (public domain),ok,Matched parent species Harmonia axyridis (taxon 48484); collage of 8 color forms all whole-body clear
agrotis-clavis,Agrotis clavis,359518,https://inaturalist-open-data.s3.amazonaws.com/photos/306866966/medium.jpg,cc-by-nc,(c) Michał Brzeziński some rights reserved (CC BY-NC),ok,Moth full body on dead leaf in focus
pasiphila-rectangulata,Pasiphila rectangulata,129223,https://inaturalist-open-data.s3.amazonaws.com/photos/8571389/medium.jpg,cc-by-nc,(c) crgillette some rights reserved (CC BY-NC),ok,Green Pug wings spread on bark sharp
aphomia-sociella,Aphomia sociella,129572,https://inaturalist-open-data.s3.amazonaws.com/photos/381704007/medium.jpeg,cc-by-nc,(c) Ross Laugher some rights reserved (CC BY-NC),ok,Default photo had null license; used open-license observation alternate; moth full body on wall clear
hedya-nubiferana,Hedya nubiferana,320099,https://inaturalist-open-data.s3.amazonaws.com/photos/399397345/medium.jpg,cc-by-nc,(c) Christian Sørensen some rights reserved (CC BY-NC),ok,Tortrix moth full body side view sharp
hofmannophila-pseudospretella,Hofmannophila pseudospretella,129570,https://inaturalist-open-data.s3.amazonaws.com/photos/166382841/medium.jpeg,cc-by-nc,(c) Marie Lou Legrand some rights reserved (CC BY-NC),ok,Brown house moth full body on wall clear
alcedo-atthis,Alcedo atthis,2599,https://inaturalist-open-data.s3.amazonaws.com/photos/61266631/medium.jpg,cc-by-nc-sa,(c) Mark Kilner some rights reserved (CC BY-NC-SA),ok,Excellent kingfisher portrait perched on branch sharp and well-lit
celypha-lacunana,Celypha lacunana,205971,https://inaturalist-open-data.s3.amazonaws.com/photos/18303486/medium.jpeg,cc-by,(c) Kostas Zontanos some rights reserved (CC BY),ok,Common Marble moth on green leaf full body clear
crassa-unitella,Crassa unitella,481943,https://inaturalist-open-data.s3.amazonaws.com/photos/399822398/medium.jpg,cc-by-nc,(c) Ian Andrews some rights reserved (CC BY-NC),ok,Golden-brown Tubic moth on leaf full body with yellow head visible
eudonia-delunella,Eudonia delunella,470894,https://inaturalist-open-data.s3.amazonaws.com/photos/75619178/medium.jpeg,cc-by-nc,(c) Riccardo Molajoli some rights reserved (CC BY-NC),ok,Pied Grey moth full body on white surface sharp
megachile-spec,Megachile spec.,52784,https://inaturalist-open-data.s3.amazonaws.com/photos/24197665/medium.jpeg,cc-by,(c) Even Dankowicz some rights reserved (CC BY),ok,Leafcutter bee foraging on purple flower whole body visible
brassica-nigra,Brassica nigra,1555489,https://inaturalist-open-data.s3.amazonaws.com/photos/20673079/medium.jpeg,cc-by-nc,(c) Mark Kluge some rights reserved (CC BY-NC),ok,iNat matched Mutarda nigra (accepted synonym of Brassica nigra); yellow mustard flowers on stem recognizable
crepis-capillaris,Crepis capillaris,54050,https://inaturalist-open-data.s3.amazonaws.com/photos/151130085/medium.jpeg,cc-by,(c) Jacqui Geux some rights reserved (CC BY),ok,Yellow composite flowers on stems in focus recognizable as hawk's-beard
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,487100,https://inaturalist-open-data.s3.amazonaws.com/photos/55366951/medium.jpeg,cc-by-nc,(c) Anja Cervencl some rights reserved (CC BY-NC),ok,Dune ragwort whole plant in sandy dune habitat yellow flowers clear
celypha-striana,Celypha striana,321943,https://inaturalist-open-data.s3.amazonaws.com/photos/78294131/medium.jpeg,cc-by-nc,(c) Marie Lou Legrand some rights reserved (CC BY-NC),ok,Barred Marble moth full body on stone surface sharp
ichneumon-xanthorius,Ichneumon xanthorius,495237,https://inaturalist-open-data.s3.amazonaws.com/photos/63825658/medium.jpeg,cc-by-nc,(c) Corinna Herr some rights reserved (CC BY-NC),ok,Default photo had null license; used open-license alternate; ichneumon wasp full body on euphorbia flowers clear
oecetis-ochracea,Oecetis ochracea,226237,https://inaturalist-open-data.s3.amazonaws.com/photos/321296776/medium.jpg,cc-by-nc,(c) Michał Brzeziński some rights reserved (CC BY-NC),ok,Long-horned caddisfly on dead leaf full body with characteristic long antennae sharp
oedemera-lurida-virescens,Oedemera lurida/virescens,451389,https://inaturalist-open-data.s3.amazonaws.com/photos/2026280/medium.png,cc-by,(c) João Coelho some rights reserved (CC BY),ok,Greenish Oedemera beetle on sunflower full body clear; PNG source saved as .jpg
phoenicurus-ochruros,Phoenicurus ochruros,13000,https://inaturalist-open-data.s3.amazonaws.com/photos/132353461/medium.jpg,cc-by-nc,(c) Petr Kosachev some rights reserved (CC BY-NC),ok,Default and first alternate too distant; second alternate shows Black Redstart perched on roof with diagnostic rust tail clear
convolvulus-sepium,Convolvulus sepium,57481,https://inaturalist-open-data.s3.amazonaws.com/photos/5313410/medium.jpg,cc-by-nc,(c) Heather Pickard some rights reserved (CC BY-NC),ok,iNat matched Calystegia sepium (accepted name); white bindweed trumpet flowers with arrow-shaped leaves clear
cucullia-scrophulariae,Cucullia scrophulariae,477033,https://inaturalist-open-data.s3.amazonaws.com/photos/115672101/medium.jpg,cc-by-nc,(c) ccarlo some rights reserved (CC BY-NC),ok,Default photo all-rights-reserved and URL 404; used open-license observation alternate; Water Betony moth spread-wing specimen whole body clear
mystacides-longicornis,Mystacides longicornis,326757,https://inaturalist-open-data.s3.amazonaws.com/photos/555170489/medium.jpg,cc-by-nc,(c) Christian Sørensen some rights reserved (CC BY-NC),ok,Caddisfly with very long antennae on white surface full body sharp dark background
philodromus-spec,Philodromus spec.,56611,https://inaturalist-open-data.s3.amazonaws.com/photos/244834534/medium.jpeg,cc-by,(c) Ludivine Lamare some rights reserved (CC BY),ok,Running crab spider front-facing on moss full body all legs visible excellent detail
polycarpon-tetraphyllum,Polycarpon tetraphyllum,58876,https://inaturalist-open-data.s3.amazonaws.com/photos/130192283/medium.jpeg,cc-by-nc,(c) Matt Ritter Ph.D. some rights reserved (CC BY-NC),ok,Four-leaved Allseed mat in pavement crack with characteristic whorled leaves and tiny flowers
artemisia-vulgaris,Artemisia vulgaris,52856,https://inaturalist-open-data.s3.amazonaws.com/photos/46355424/medium.jpeg,cc-by-nc,(c) Valentin Hamon some rights reserved (CC BY-NC),ok,Mugwort whole plant with silver-grey feathery flower spikes recognizable
idaea-seriata,Idaea seriata,322983,https://inaturalist-open-data.s3.amazonaws.com/photos/212898315/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC), uploaded by Michał Brzeziński",ok,
