slug,form,hue,aspect,sat,tail,head_stripe,status,note
abia-nitens,bee,100.9,1.00,55,thin,False,ok,
abraxas-grossulariata,moth,104.7,1.00,55,thin,False,ok,
acanthus-hungaricus,,,,,,,no_form,plantae/magnoliopsida/lamiales
acanthus-spec,,,,,,,no_form,-/-/-
acentria-ephemerella,moth,27.4,1.00,55,thin,False,ok,
acer-negundo,,,,,,,no_form,plantae/magnoliopsida/sapindales
acer-platanoides,,,,,,,no_form,plantae/magnoliopsida/sapindales
acer-pseudoplatanus-f-aureovariegatum,,,,,,,no_form,plantae/magnoliopsida/sapindales
acer-saccharinum,,,,,,,no_form,plantae/magnoliopsida/sapindales
aceria-pseudoplatani,,,,,,,no_taxonomy,
achillea-millefolium-cultivar,,,,,,,no_form,plantae/magnoliopsida/asterales
achillea-ptarmica,,,,,,,no_form,plantae/magnoliopsida/asterales
acleris-bergmanniana,moth,101.3,1.00,55,thin,False,ok,
acleris-ferrugana,moth,31.1,1.00,55,thin,False,ok,
acleris-forsskaleana,moth,102.0,1.00,55,thin,False,ok,
acleris-hastiana,moth,105.4,1.00,55,thin,False,ok,
acleris-holmiana,moth,165.3,1.00,55,thin,False,ok,
acleris-logiana,moth,0.0,1.00,55,thin,False,ok,
acleris-variegana,moth,32.2,1.00,55,thin,False,ok,
acrobasis-advenella,moth,18.7,1.00,55,thin,False,ok,
acrobasis-repandana,moth,26.8,1.00,55,thin,False,ok,
acrocephalus-schoenobaenus,bird,70.3,1.00,55,thin,False,ok,
acrolepiopsis-assectella,moth,96.5,1.00,55,thin,False,ok,
acronicta-leporina,moth,55.8,1.00,55,thin,False,ok,
acronicta-psi,,,,,,,no_taxonomy,
acronicta-rumicis,moth,58.4,1.00,55,thin,False,ok,
aculus-tetanothrix,spider,0.0,1.00,35,thin,False,ok,
adaina-microdactyla,moth,22.7,1.00,55,thin,False,ok,
adalia-decempunctata,beetle,30.0,1.00,55,thin,False,ok,
adelphocoris-lineolatus,bug,92.6,1.00,45,thin,False,ok,
adiantum-venustum,,,,,,,no_form,plantae/polypodiopsida/polypodiales
adrastus-pallens,beetle,76.5,1.00,55,thin,False,ok,
aegopinella-nitidula,mollusc,34.0,0.90,55,thin,False,ok,
aelia-acuminata,bug,207.7,1.00,45,thin,False,ok,
aesculus-hippocastanum,,,,,,,no_form,plantae/magnoliopsida/sapindales
aesculus-parviflora,,,,,,,no_form,plantae/magnoliopsida/sapindales
aeshna-cyanea,dragonfly,69.1,1.00,55,thin,False,ok,
aeshna-isoceles,dragonfly,36.7,1.00,55,thin,False,ok,
aeshnidae-indet,dragonfly,41.1,1.00,55,thin,False,ok,
agaricales,mushroom,23.4,1.00,35,thin,False,ok,
agaricus-augustus,mushroom,36.0,1.00,35,thin,False,ok,
agaricus-spec,mushroom,26.7,1.00,35,thin,False,ok,
agelena-labyrinthica,spider,25.7,1.00,35,thin,False,ok,
aglais-io,moth,73.2,1.00,55,thin,False,ok,
aglais-urticae,moth,18.9,1.00,55,thin,False,ok,
aglossa-caprealis,moth,28.2,1.00,55,thin,False,ok,
aglossa-pinguinalis,moth,22.8,1.00,55,thin,False,ok,
agonopterix-heracliana-ciliella,moth,39.4,1.00,55,thin,False,ok,
agonopterix-nervosa,moth,107.1,1.00,55,thin,False,ok,
agonopterix-propinquella,moth,25.5,1.00,55,thin,False,ok,
agraylea-spec,bug,32.7,1.00,40,thin,False,ok,
agrilus-spec,,,,,,,no_form,-/-/-
agrimonia-procera,,,,,,,no_form,plantae/magnoliopsida/rosales
agrimonia-spec,,,,,,,no_form,plantae/magnoliopsida/rosales
agriotes-lineatus,beetle,22.3,1.00,55,thin,False,ok,
agriphila-geniculea,moth,27.3,1.00,55,thin,False,ok,
agriphila-inquinatella,moth,98.2,1.00,55,thin,False,ok,
agrochola-lunosa,moth,68.0,1.00,55,thin,False,ok,
agrocybe-dura,mushroom,64.2,1.00,35,thin,False,ok,
agromyza-flaviceps,bee,110.0,1.00,55,thin,False,ok,
agromyza-reptans-pseudoreptans,bee,76.2,1.00,55,thin,False,ok,
agrostemma-githago,,,,,,,no_form,plantae/magnoliopsida/caryophyllales
agrostis-spec,,,,,,,no_form,plantae/liliopsida/poales
agrotis-clavis,moth,54.7,1.00,55,thin,False,ok,
agrotis-segetum,moth,53.1,1.00,55,thin,False,ok,
agrypnus-murinus,beetle,91.2,1.00,55,thin,False,ok,
ailanthus-altissima,,,,,,,no_form,plantae/magnoliopsida/sapindales
aira-caryophyllea,,,,,,,no_form,plantae/liliopsida/poales
alauda-arvensis,bird,50.0,1.00,55,thin,False,ok,
alcedo-atthis,bird,37.1,1.00,55,thin,False,ok,
alcis-repandata,moth,20.5,1.00,55,thin,False,ok,
aleiodes-spec,bee,24.0,1.00,55,thin,False,ok,
alisma-plantago-aquatica,,,,,,,no_form,plantae/liliopsida/alismatales
alkekengi-officinarum,,,,,,,no_form,plantae/magnoliopsida/solanales
allium-spec,,,,,,,no_form,plantae/liliopsida/asparagales
althaea-officinalis,,,,,,,no_form,plantae/magnoliopsida/malvales
altica-spec,beetle,207.5,1.00,55,thin,False,ok,
amara-apricaria,beetle,5.2,1.00,55,thin,False,ok,
amara-aulica,beetle,40.0,1.00,55,thin,False,ok,
amara-spec,,,,,,,no_form,-/-/-
amaurobius-spec,spider,29.4,1.00,35,thin,False,ok,
amauromyza-verbasci,bee,168.4,1.00,55,thin,False,ok,
ambigolimax-valentianus,mollusc,198.5,1.20,55,thin,False,ok,
amblyptilia-acanthadactyla,moth,23.0,1.00,55,thin,False,ok,
amphipyra-pyramidea,moth,28.7,1.00,55,thin,False,ok,
anacampsis-blattariella,moth,0.0,1.00,55,thin,False,ok,
anania-coronata,moth,28.5,1.00,55,thin,False,ok,
anania-crocealis,moth,41.3,1.00,55,thin,False,ok,
anarsia-innoxiella,moth,85.7,1.00,55,thin,False,ok,
anas-platyrhynchos-f-domesticus,water-bird,57.4,1.00,30,thin,False,ok,
anax-imperator,dragonfly,66.8,1.00,55,thin,False,ok,
anax-parthenope,dragonfly,60.0,1.00,55,thin,False,ok,
anchusa-officinalis,,,,,,,no_form,plantae/magnoliopsida/boraginales
ancistrocerus-spec,,,,,,,no_form,animalia/-/-
ancistrocerus-trifasciatus,bee,65.9,1.00,55,thin,False,ok,
ancylis-achatana,moth,31.2,1.00,55,thin,False,ok,
ancylis-unguicella,moth,73.8,1.00,55,thin,False,ok,
andrena-dorsata,bee,18.9,1.00,55,thin,False,ok,
andrena-flavipes,bee,95.3,1.00,55,thin,False,ok,
andrena-minutula-gr,bee,37.1,1.00,55,thin,False,ok,
andricus-kollari,bee,38.0,1.00,55,thin,False,ok,
anelosimus-vittatus,spider,101.5,1.00,35,thin,False,ok,
angelica-archangelica,,,,,,,no_form,plantae/magnoliopsida/apiales
anisantha-madritensis,,,,,,,no_form,plantae/liliopsida/poales
anisantha-sterilis,,,,,,,no_form,plantae/liliopsida/poales
anisantha-tectorum,,,,,,,no_form,plantae/liliopsida/poales
anisoptera-indet,,,,,,,no_form,plantae/magnoliopsida/malvales
anobiidae-indet,beetle,85.3,1.00,55,thin,False,ok,
anodonta-cygnea,,,,,,,no_form,animalia/bivalvia/unionida
anomaloninae-indet,,,,,,,no_form,-/-/-
anomoia-purmunda,bee,69.6,1.00,55,thin,False,ok,
anser-anser-f-domesticus,water-bird,204.9,1.00,30,thin,False,ok,
anser-spec,water-bird,22.9,1.00,30,thin,False,ok,
anthemis-tinctoria,,,,,,,no_form,plantae/magnoliopsida/asterales
anthidium-manicatum,bee,72.3,1.00,55,thin,False,ok,
anthocomus-fasciatus,beetle,65.4,1.00,55,thin,False,ok,
anthomyia-procellaris,bee,79.1,1.00,55,thin,False,ok,
anthomyiidae-indet,bee,30.0,1.00,55,thin,False,ok,
