slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
acanthis-cabaret,Acanthis cabaret,Acanthis cabaret,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,flammea,"Acanthis cabaret (Müller & Pls, 1776)",EXACT,98
acanthosoma-haemorrhoidale,Acanthosoma haemorrhoidale,Acanthosoma haemorrhoidale,species,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,haemorrhoidale,"Acanthosoma haemorrhoidale (Linnaeus, 1758)",EXACT,99
acari,Acari,,unmatched,,,,,,,,,,
aceria,Aceria / Eriophyidae,Aceria / Eriophyidae,genus,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,,"Aceria Keifer, 1944",EXACT,94
aceria-celtis,Aceria celtis / Eriophyes spp.,Aceria celtis / Eriophyes spp.,species,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,celata,"Aceria celata Flechtmann, 2007",FUZZY,95
aceria-pseudoplatini,"Aceria pseudoplatini, A. eriobia / Eriophyidae","Aceria pseudoplatini, A. eriobia / Eriophyidae",species,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,pseudoplatani,"Aceria pseudoplatani (Corti, 1905)",HIGHERRANK,94
acronicta-aceris,Acronicta aceris / Noctuidae,Acronicta aceris / Noctuidae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,aceris,"Acronicta aceris (Linnaeus, 1758)",EXACT,97
acronicta-alni,"Acronicta alni, Eriogaster lanestris / Noctuidae, Lasiocampidae","Acronicta alni, Eriogaster lanestris / Noctuidae, Lasiocampidae",species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,alni,"Acronicta alni (Linnaeus, 1767)",HIGHERRANK,99
aculus-mosoniensis,Aculus mosoniensis / Eriophyidae,Aculus mosoniensis / Eriophyidae,species,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aculus,mosoniensis,"Aculus mosoniensis (Ripka, 2014)",EXACT,99
adelges-abietis,"Adelges abietis, A. viridis","Adelges abietis, A. viridis",species,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,abietis,"Adelges abietis (Linnaeus, 1758)",HIGHERRANK,99
adelges-laricis,"Adelges laricis, Adelgidae","Adelges laricis, Adelgidae",genus,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,,"Adelges Vallot, 1836",HIGHERRANK,92
agelastica-alni,Agelastica alni / Chrysomelidae,Agelastica alni / Chrysomelidae,species,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Agelastica,alni,"Agelastica alni (Linnaeus, 1758)",EXACT,99
agrilus-difficilis,"Agrilus difficilis, Buprestidae","Agrilus difficilis, Buprestidae",species,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,difficilis,"Agrilus difficilis Gory, 1841",EXACT,84
aleurocanthus-spiniferus,Aleurocanthus spiniferus / Aleyrodidae,Aleurocanthus spiniferus / Aleyrodidae,species,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleurocanthus,spiniferus,"Aleurocanthus spiniferus (Quaintance, 1903)",EXACT,99
andrena,Andrena spp. / Andrenidae,Andrena spp. / Andrenidae,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,,"Andrena Fabricius, 1775",HIGHERRANK,92
anthonomus-pomorum,Anthonomus pomorum / Curculionidae,Anthonomus pomorum / Curculionidae,species,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,pomorum,"Anthonomus pomorum (C.Linnaeus, 1758)",EXACT,99
anthophora,"Anthophora, Osmia spp.","Anthophora, Osmia spp.",kingdom,Animalia,,,,,,,Animalia,HIGHERRANK,92
apatura-iris,Apatura iris / Limenitis camilla,Apatura iris / Limenitis camilla,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apatura,iris,"Apatura iris (Linnaeus, 1758)",HIGHERRANK,99
aphidoidea,"assorted Aphidoidea, Coccidae",Coccidae,family,Animalia,Arthropoda,Insecta,Hemiptera,Coccidae,,,Coccidae,EXACT,94
aphidoidea-esp-corylobium-avellanae-myzocallis-coryli,"Aphidoidea, esp. Corylobium avellanae, Myzocallis coryli",Myzocallis coryli,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Myzocallis,coryli,"Myzocallis coryli (Goeze, 1778)",EXACT,99
aphidoidea-esp-dysaphis-crataegi-ovatus-crataegarius,"Aphidoidea, esp. Dysaphis crataegi, Ovatus crataegarius",Ovatus crataegarius,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Ovatomyzus,crataegarius,"Ovatus crataegarius (Walker, 1850)",EXACT,97
aphidoidea-generalist-greenfly,"Aphidoidea, generalist greenfly",,unmatched,,,,,,,,,,
aphidoidea-incl-anoecia-corni,"Aphidoidea, incl. Anoecia corni",incl. Anoecia corni,unranked,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Rhynchalastor,inca,"? inca de Saussure, 1870",HIGHERRANK,80
aphidoidea-including-aphis-gossypii,"Aphidoidea, including Aphis gossypii",,unmatched,,,,,,,,,,
aphidoidea-occasional,"Aphidoidea, occasional",,unmatched,,,,,,,,,,
aphis,Aphis spp.,Aphis spp.,genus,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,,"Aphis Linnaeus, 1758",HIGHERRANK,92
aphrophora-alni,"Aphrophora alni, Psylla alni","Aphrophora alni, Psylla alni",species,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Aphrophora,alni,"Aphrophora alni (Fallén, 1805)",HIGHERRANK,99
apidae,Apidae,Apidae,family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,,Apidae,HIGHERRANK,92
apidae-andrenidae,"Apidae, Andrenidae","Apidae, Andrenidae",family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,,Apidae,HIGHERRANK,92
apiognomonia-veneta,"Apiognomonia veneta, asexual Discula platani","Apiognomonia veneta, asexual Discula platani",species,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Apiognomonia,veneta,Apiognomonia veneta (Sacc. & Speg.) Höhn.,HIGHERRANK,99
apis,Apis / Bombus,Apis / Bombus,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,"Apis Linnaeus, 1758",HIGHERRANK,92
apis-bombus,"Apis, Bombus","Apis, Bombus",genus,Animalia,,,,,Apis,,Apis,EXACT,91
apis-mellifera,Apis mellifera,Apis mellifera,species,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,"Apis mellifera Linnaeus, 1758",EXACT,99
apis-mellifera-andrena-spp,"Apis mellifera, Andrena spp. / Apidae+Andrenidae",,compound,,,,,,,,,,
apodemus-myodes-sciurus,"Apodemus, Myodes, Sciurus",Apodemus,kingdom,Animalia,,,,,,,Animalia,HIGHERRANK,92
apodemus-sylvaticus,Apodemus sylvaticus / A. flavicollis,Apodemus sylvaticus / A. flavicollis,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,"Apodemus sylvaticus (Linnaeus, 1758)",HIGHERRANK,99
apodemus-sylvaticus-myodes-glareolus,Apodemus sylvaticus / Myodes glareolus,Apodemus sylvaticus / Myodes glareolus,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,"Apodemus sylvaticus (Linnaeus, 1758)",HIGHERRANK,99
apodemus-sylvaticus-myodes-glareolus-sciurus-vulgaris,Apodemus sylvaticus / Myodes glareolus / Sciurus vulgaris,Apodemus sylvaticus / Myodes glareolus / Sciurus vulgaris,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,"Apodemus sylvaticus (Linnaeus, 1758)",HIGHERRANK,99
apoidea,Apoidea,,unmatched,,,,,,,,,,
appendiseta-robiniae,Appendiseta robiniae,Appendiseta robiniae,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Appendiseta,robiniae,"Appendiseta robiniae (Gillette, 1907)",EXACT,99
arachnida,Arachnida,Arachnida,class,Animalia,Arthropoda,Arachnida,,,,,Arachnida,EXACT,94
arachnida-isopoda,Arachnida / Isopoda,Arachnida / Isopoda,class,Animalia,Arthropoda,Arachnida,,,,,Arachnida,EXACT,94
araneae,"mixed Araneae, Hemiptera, Coleoptera",Hemiptera,order,Animalia,Arthropoda,Insecta,Hemiptera,,,,Hemiptera,EXACT,94
araneidae,"Araneidae, Theridiidae","Araneidae, Theridiidae",family,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,Araneidae,EXACT,94
argynnis,Argynnis spp.,Argynnis spp.,genus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,,"Argynnis Fabricius, 1807",HIGHERRANK,92
argyresthia,Argyresthia spp.,Argyresthia spp.,genus,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,,"Argyresthia Hübner, 1825",HIGHERRANK,94
argyresthia-conjugella,Argyresthia conjugella,Argyresthia conjugella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,conjugella,"Argyresthia conjugella Zeller, 1839",EXACT,99
asterocampa-celtis,Asterocampa celtis,Asterocampa celtis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa,celtis,"Asterocampa celtis (Boisduval & Le Conte, 1833)",EXACT,99
atteva-aurea,Atteva aurea / Attevidae,Atteva aurea / Attevidae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Attevidae,Atteva,punctella,"Atteva aurea Fitch, 1856",EXACT,98
barbastella-barbastellus,Barbastella barbastellus / Pipistrellus spp.,Barbastella barbastellus / Pipistrellus spp.,species,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,barbastellus,"Barbastella barbastellus (Schreber, 1774)",EXACT,99
blepharidopterus-chlorionis,"Blepharidopterus chlorionis, Miridae","Blepharidopterus chlorionis, Miridae",species,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Blepharidopterus,chlorionis,"Blepharidopterus chlorionis (Say, 1832)",EXACT,99
bombus,"Bombus spp., both short- and long-tongued",,compound,,,,,,,,,,
bombus-terrestris,Bombus terrestris / B. hortorum / Apidae,Bombus terrestris / B. hortorum / Apidae,species,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,"Bombus terrestris (Linnaeus, 1758)",HIGHERRANK,99
bombycilla,Bombycilla spp.,Bombycilla spp.,genus,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,,"Bombycilla Vieillot, 1808",HIGHERRANK,94
bombycilla-garrulus,"cedar waxwing equiv. — in Europe Bohemian Waxwing Bombycilla garrulus, Blackbird Turdus merula, Mistle Thrush",,unmatched,,,,,,,,,,
bombyx-mori,Bombyx mori / Bombycidae,Bombyx mori / Bombycidae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,mori,"Bombyx mori Linnaeus, 1758",EXACT,98
bradyrhizobium,Bradyrhizobium / Rhizobium nodules,Bradyrhizobium / Rhizobium nodules,genus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,"Bradyrhizobium Jordan, 1982",HIGHERRANK,92
bruchidius-siliquastri,Bruchidius siliquastri,Bruchidius siliquastri,species,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Bruchidius,siliquastri,"Bruchidius siliquastri Delobel, 2007",EXACT,99
buprestidae,"Buprestidae, Cerambycidae larvae","Buprestidae, Cerambycidae larvae",family,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,,Buprestidae,EXACT,94
cacopsylla-pyri,Cacopsylla pyri / C. pyricola,Cacopsylla pyri / C. pyricola,species,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Cacopsylla,pyri,"Cacopsylla pyri (Linnaeus, 1758)",HIGHERRANK,99
callipterinella,"Callipterinella, Symydobius / Aphidoidea",Callipterinella,genus,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Callipterinella,,"Callipterinella Van der Goot, 1913",EXACT,92
cameraria-ohridella,Cameraria ohridella / Gracillariidae,Cameraria ohridella / Gracillariidae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Cameraria,ohridella,"Cameraria ohridella Deschka & Dimić, 1986",EXACT,99
capreolus-capreolus,Capreolus capreolus,Capreolus capreolus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,capreolus,"Capreolus capreolus (Linnaeus, 1758)",EXACT,99
carduelis,"Carduelis, Passer",Carduelis,genus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,,"Carduelis Brisson, 1760",EXACT,94
carduelis-carduelis,Carduelis carduelis,Carduelis carduelis,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,carduelis,"Carduelis carduelis (Linnaeus, 1758)",EXACT,99
carduelis-carduelis-spinus-spinus,"Carduelis carduelis, Spinus spinus / Fringillidae","Carduelis carduelis, Spinus spinus / Fringillidae",species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,carduelis,"Carduelis carduelis (Linnaeus, 1758)",HIGHERRANK,99
carulaspis,"Carulaspis spp., spider mites",Carulaspis spp.,genus,Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Carulaspis,,"Carulaspis McGillivray, 1921",HIGHERRANK,94
carulaspis-juniper-scale,"Carulaspis spp., juniper scale",Carulaspis spp.,genus,Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Carulaspis,,"Carulaspis McGillivray, 1921",HIGHERRANK,94
carulaspis-juniperi,"Carulaspis juniperi, Diaspididae","Carulaspis juniperi, Diaspididae",species,Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Carulaspis,juniperi,"Carulaspis juniperi (Bouché, 1851)",EXACT,99
cecidophyopsis-psilaspis,"Cecidophyopsis psilaspis, Eriophyidae","Cecidophyopsis psilaspis, Eriophyidae",species,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Cecidophyopsis,psilaspis,"Cecidophyopsis psilaspis (Nalepa, 1893)",EXACT,99
cedrobium-laportei,Cedrobium laportei,Cedrobium laportei,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,laportei,"Cedrobium laportei Remaudière, 1954",EXACT,98
celastrina-argiolus,"Celastrina argiolus, Lycaenidae","Celastrina argiolus, Lycaenidae",species,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,argiolus,"Celastrina argiolus (Linnaeus, 1758)",EXACT,99
cerambycidae,"Cerambycidae, in declining trees",Cerambycidae,family,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,Cerambycidae,EXACT,94
ceratomia-catalpae,Ceratomia catalpae,Ceratomia catalpae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,catalpae,Ceratomia catalpae Boisduval,EXACT,99
certhia-familiaris,Certhia familiaris,Certhia familiaris,species,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,familiaris,"Certhia familiaris Linnaeus, 1758",EXACT,99
certhia-sitta,"Treecreeper, Nuthatch — Certhia / Sitta",Sitta,genus,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,,"Sitta Linnaeus, 1758",HIGHERRANK,92
cerura,"Cerura/Furcula, Notodontidae","Cerura/Furcula, Notodontidae",genus,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Cerura,,"Cerura Schrank, 1802",EXACT,94
cetonia-aurata,Cetonia aurata / Scarabaeidae,Cetonia aurata / Scarabaeidae,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetonia,aurata,"Cetonia aurata (Linnaeus, 1758)",EXACT,99
chalcidoidea,"Chalcidoidea, esp. Chrysocharis, Pleurotropis",Pleurotropis,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Pediobius,,"Pleurotropis Forster, 1856",EXACT,94
chionaspis-gleditsiae,Chionaspis gleditsiae and others,,compound,,,,,,,,,,
chloris,Chloris / Carduelis,Carduelis,genus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,,"Carduelis Brisson, 1760",EXACT,94
chloris-chloris,Chloris chloris / Passer domesticus,Passer domesticus,species,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,domesticus,"Passer domesticus (Linnaeus, 1758)",EXACT,99
chloris-chloris-prunella-modularis-troglodytes-troglodytes-erithacus-rubecula,Chloris chloris / Prunella modularis / Troglodytes troglodytes / Erithacus rubecula,Prunella modularis,species,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,modularis,"Prunella modularis (Linnaeus, 1758)",EXACT,99
choristoneura,"Choristoneura, Tortricidae",Choristoneura,genus,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,,"Choristoneura Lederer, 1859",EXACT,92
chromaphis-juglandicola,"Chromaphis juglandicola, Aphididae","Chromaphis juglandicola, Aphididae",species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Chromaphis,juglandicola,"Chromaphis juglandicola (Kaltenbach, 1843)",EXACT,99
chrysomela-populi,"Chrysomela populi, C. tremula","Chrysomela populi, C. tremula",species,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysomela,populi,"Chrysomela populi Linnaeus, 1758",HIGHERRANK,99
