slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
ischnura-elegans,Ischnura elegans,61508,https://inaturalist-open-data.s3.amazonaws.com/photos/67913859/medium.jpg,cc-by-nc,"(c) Jiri Hodecek, some rights reserved (CC BY-NC), uploaded by Jiri Hodecek",ok,"Common Bluetail dragonfly perched on vegetation, clear species markings"
cornu-aspersum,Cornu aspersum,480298,https://inaturalist-open-data.s3.amazonaws.com/photos/16302570/medium.jpg,cc-by-nc-sa,"(c) Ferran Turmo Gort, some rights reserved (CC BY-NC-SA)",ok,"Garden snail on vegetation, shell and body clearly visible"
lissotriton-vulgaris,Lissotriton vulgaris,556656,https://inaturalist-open-data.s3.amazonaws.com/photos/125432817/medium.jpg,cc-by-nc,"(c) Vit Lukas, some rights reserved (CC BY-NC), uploaded by Vit Lukas",ok,"Smooth Newt full body on substrate, orange belly pattern visible"
agrocybe-praecox,Agrocybe praecox,118391,https://inaturalist-open-data.s3.amazonaws.com/photos/278019481/medium.jpeg,cc-by,"(c) Alan Rockefeller, some rights reserved (CC BY), uploaded by Alan Rockefeller",ok,"Spring Fieldcap mushroom cap and stalk, brown cap with ring clearly visible"
coprinus-comatus,Coprinus comatus,47392,https://inaturalist-open-data.s3.amazonaws.com/photos/93399523/medium.jpeg,cc-by,"(c) Tom Norton, some rights reserved (CC BY), uploaded by Tom Norton",ok,"Shaggy Mane inky cap mushrooms in group, shaggy white caps with dark edges clearly visible"
xeroplexa-intersecta,Xeroplexa intersecta,804125,https://inaturalist-open-data.s3.amazonaws.com/photos/12397037/medium.jpg,cc-by-nc,"(c) Erika Mitchell, some rights reserved (CC BY-NC), uploaded by Erika Mitchell",ok,Wrinkled Snail small shell with characteristic ribbed spiral pattern
candolleomyces-candolleanus,Candolleomyces candolleanus,1179954,https://inaturalist-open-data.s3.amazonaws.com/photos/3081162/medium.jpg,cc-by-nc,"(c) Christian Schwarz, some rights reserved (CC BY-NC), uploaded by Christian Schwarz",ok,"Pale Brittlestem mushrooms cluster on wood, pale buff caps with striate margin"
coenagrion-pulchellum,Coenagrion pulchellum,208111,https://inaturalist-open-data.s3.amazonaws.com/photos/115078013/medium.jpg,cc-by,"(c) odole, some rights reserved (CC BY)",ok,"Default photo all rights reserved; used open-license observation; Variable Bluet damselfly perched on vegetation, blue segments with black markings"
flavoparmelia-caperata,Flavoparmelia caperata,117943,https://inaturalist-open-data.s3.amazonaws.com/photos/586405643/medium.jpg,cc-by-nc,"(c) Helena, some rights reserved (CC BY-NC)",ok,"Default photo all rights reserved; used open-license observation; common greenshield lichen on bark, distinctive grey-green lobed thallus"
pelophylax-esculentus,Pelophylax esculentus,66322,https://inaturalist-open-data.s3.amazonaws.com/photos/1958664/medium.jpg,cc-by,"(c) Luciano 95, some rights reserved (CC BY)",ok,"Edible Frog floating in water, green dorsal stripe and spotted pattern visible"
