slug,latin_name,common_name,category,family,genus,observations_count
coenagrion-puella,Coenagrion puella,Azure Bluet,dragonfly,Coenagrionidae,Coenagrion,13
leptophyes-punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshopper,Tettigoniidae,Leptophyes,10
rana-temporaria,Rana temporaria,Common Frog,amphibian,Ranidae,Rana,4
trachemys-scripta,Trachemys scripta,Pond Slider,turtle,Emydidae,Trachemys,3
sympetrum-meridionale,Sympetrum meridionale,Southern Darter,dragonfly,Libellulidae,Sympetrum,2
arion-vulgaris,Arion vulgaris,Spanish Slug,mollusc,Arionidae,Arion,1
chorthippus-dorsatus,Chorthippus dorsatus,Steppe Grasshopper,grasshopper,Acrididae,Chorthippus,1
erythromma-viridulum,Erythromma viridulum,Small Red-eyed Damselfly,dragonfly,Coenagrionidae,Erythromma,1
pelophylax,Pelophylax,Water Frogs,amphibian,Ranidae,Pelophylax,1
scardinius-erythrophthalmus,Scardinius erythrophthalmus,Common Rudd,fish,Cyprinidae,Scardinius,1
marpissa-muscosa,Marpissa muscosa,Fencepost Jumping Spider,spider,Salticidae,Marpissa,19
nuctenea-umbratica,Nuctenea umbratica,Walnut Orbweaver Spider,spider,Araneidae,Nuctenea,6
